Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,3,0,15,23.4,0.0,0.0,2.3,1,0.00000,0.00098,0.00098,1.71020,2
Granit Xhaka,90,1,0,0,1,0,0,0,0,0,0,3,34,49.0,41.6,34.0,12.5,1,0.29310,0.05841,0.35151,0.67380,10
Thomas Partey,90,0,0,0,1,0,0,0,0,0,0,0,14,14.4,14.5,2.0,3.1,1,0.00000,0.07253,0.07253,0.67380,2
Martin Odegaard,82,0,0,0,1,0,0,0,0,0,0,0,20,9.4,43.8,11.0,6.4,1,0.09480,0.26998,0.36478,0.67380,2
Kieran Tierney,18,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.7,2.0,0.5,0,0.00000,0.00425,0.00425,0.00000,1
Ben White,71,0,1,0,1,0,0,0,0,0,0,1,29,37.0,29.9,4.0,7.1,1,0.00000,0.08940,0.08940,0.67380,6
Eddie Nketiah,19,0,0,0,0,0,0,0,0,0,0,0,-1,1.4,2.3,18.0,2.2,0,0.09070,0.00608,0.09678,0.00000,1
Bukayo Saka,90,0,0,0,1,0,0,0,1,0,0,0,2,3.0,3.0,11.0,1.7,1,0.07140,0.03755,0.10895,0.67380,1
Takehiro Tomiyasu,90,0,0,0,1,0,0,0,0,0,0,0,19,18.0,6.8,2.0,2.7,1,0.00000,0.04743,0.04743,0.67380,2
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,2,0,12,14.8,0.0,0.0,1.5,1,0.00000,0.00008,0.00008,0.67380,2
Gabriel,90,0,0,0,1,0,0,0,0,0,0,0,17,32.0,2.2,4.0,3.8,1,0.05560,0.01625,0.07185,0.67380,2
Gabriel Martinelli,70,0,0,0,1,0,0,0,0,0,0,0,9,10.4,5.8,16.0,3.2,1,0.04450,0.02853,0.07303,0.67380,2
Fábio Vieira,7,0,0,0,0,0,0,0,0,0,0,0,1,2.4,0.5,0.0,0.3,0,0.00000,0.00293,0.00293,0.00000,1
William Saliba,90,0,0,0,1,0,0,0,0,0,0,0,17,21.0,1.0,0.0,2.2,1,0.00000,0.00823,0.00823,0.67380,2
Gabriel Jesus,90,0,0,0,1,0,0,0,0,0,0,0,-7,12.0,4.4,53.0,6.9,1,0.34450,0.08667,0.43117,0.67380,2
Philippe Coutinho,19,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.0,0.1,0,0.00000,0.00041,0.00041,0.13040,1
Danny Ings,90,2,0,1,0,0,0,0,1,0,0,3,55,77.2,32.2,40.0,14.9,1,1.21980,0.12692,1.34672,0.94590,12
Emiliano Martinez,90,0,0,1,0,0,0,0,0,0,3,0,28,29.0,10.0,0.0,3.9,1,0.00000,0.00416,0.00416,0.94590,7
Calum Chambers,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
John McGinn,27,0,0,0,0,0,0,0,0,0,0,0,7,6.6,0.0,0.0,0.7,0,0.00000,0.00023,0.00023,0.13040,1
Tyrone Mings,90,0,1,1,0,0,0,0,0,0,0,1,31,12.2,0.3,4.0,1.7,1,0.00000,0.00176,0.00176,0.94590,10
Ollie Watkins,80,1,0,1,0,0,0,0,0,0,0,0,17,44.8,16.0,103.0,16.4,1,1.03130,0.07462,1.10592,0.94590,6
Emiliano Buendía,70,0,0,1,0,0,0,0,0,0,0,0,7,8.2,23.0,33.0,6.4,1,0.21360,0.11785,0.33145,0.81540,3
Matthew Cash,80,0,0,1,0,0,0,0,0,0,0,0,21,12.8,1.6,25.0,3.9,1,0.05870,0.00544,0.06414,0.94590,6
