Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Cédric Soares,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Bernd Leno,90,0,0,0,2,0,0,0,0,0,8,2,29,49.8,0.0,0.0,5.0,1,0.00000,0.00112,0.00112,2.59080,5
Granit Xhaka,15,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,1,0.00000,0.00245,0.00245,0.00000,1
Mohamed Elneny,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Thomas Partey,90,0,0,1,0,0,0,0,1,0,0,0,9,12.4,13.2,0.0,2.6,1,0.00000,0.02288,0.02288,0.67930,2
Martin Odegaard,90,2,0,1,0,0,0,0,0,0,0,3,47,69.4,9.3,68.0,14.7,1,1.48010,0.03380,1.51390,0.67930,16
Ben White,90,0,0,1,0,0,0,0,0,0,0,2,31,15.0,39.9,1.0,5.6,1,0.05130,0.20624,0.25754,0.67930,8
Bukayo Saka,90,0,0,1,0,0,0,0,0,0,0,0,8,7.4,47.4,4.0,5.9,1,0.00000,0.21557,0.21557,0.67930,3
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,2,0,24,14.4,0.0,0.0,1.4,1,0.00000,0.00010,0.00010,0.67930,6
Gabriel,90,0,0,1,0,0,0,0,1,0,0,0,23,11.2,2.2,6.0,1.9,1,0.10780,0.00718,0.11498,0.67930,5
Gabriel Martinelli,90,0,1,1,0,0,0,0,0,0,0,0,18,14.6,3.4,23.0,4.1,1,0.06580,0.01573,0.08153,0.67930,6
Ainsley Maitland-Niles,31,0,0,0,0,0,0,0,0,0,0,0,7,7.2,15.0,0.0,2.2,0,0.00000,0.07742,0.07742,0.31630,1
Reiss Nelson,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Fábio Vieira,75,0,1,1,0,0,0,0,0,0,0,0,17,15.6,12.7,14.0,4.2,0,0.06560,0.58355,0.64915,0.67930,6
William Saliba,90,0,0,1,0,0,0,0,0,0,0,0,26,15.6,2.2,0.0,1.8,1,0.00000,0.01430,0.01430,0.67930,6
Gabriel Jesus,90,0,0,1,0,0,0,0,0,0,0,0,9,6.2,9.3,54.0,7.0,1,0.35260,0.13672,0.48932,0.67930,2
Danny Ings,82,2,0,0,1,0,0,0,0,0,0,3,62,78.4,13.8,60.0,15.2,1,1.08500,0.05016,1.13516,0.33480,13
Emiliano Martinez,90,0,0,0,1,0,0,0,1,0,1,0,8,9.8,13.0,0.0,2.3,1,0.00000,0.20068,0.20068,0.65600,1
Lucas Digne,81,0,0,0,1,0,0,0,0,0,0,0,9,12.2,0.6,2.0,1.5,1,0.00000,0.00146,0.00146,0.33480,2
John McGinn,90,0,1,0,1,0,0,0,1,0,0,0,9,10.2,0.8,4.0,1.5,1,0.00000,0.00416,0.00416,0.65600,4
Tyrone Mings,90,0,0,0,1,0,0,0,1,0,0,0,8,20.4,0.1,0.0,2.1,1,0.00000,0.00061,0.00061,0.65600,1
Emiliano Buendía,73,0,0,0,1,0,0,0,0,0,0,0,5,0.8,13.7,6.0,2.1,1,0.26870,0.24726,0.51596,0.30900,2
Matthew Cash,90,0,0,0,1,0,0,0,1,0,0,0,9,14.6,11.1,2.0,2.8,1,0.00000,0.15814,0.15814,0.65600,1
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,0,0,0,0,15,19.6,0.3,0.0,2.0,1,0.00000,0.00073,0.00073,0.65600,2
Leon Bailey,16,0,0,0,0,0,0,0,1,0,0,0,-2,0.0,0.1,2.0,0.0,0,0.00000,0.00041,0.00041,0.34710,0
Douglas Luiz,82,0,1,0,1,0,0,0,0,0,0,1,22,21.0,11.3,8.0,4.0,1,0.00350,0.02560,0.02910,0.33480,6
Jacob Ramsey,68,0,0,0,1,0,0,0,0,0,0,0,6,0.4,0.9,10.0,1.1,1,0.07480,0.02544,0.10024,0.30900,2
Boubacar Kamara,90,0,0,0,1,0,0,0,1,0,0,0,8,18.0,1.3,2.0,2.1,1,0.02150,0.00521,0.02671,0.65600,1
Cameron Archer,7,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00000,0.00001,0.00001,0.32120,1
Adam Smith,90,0,0,1,0,0,0,0,0,0,0,2,28,21.2,14.8,0.0,3.6,1,0.00000,0.04076,0.04076,0.82740,8
Kieffer Moore,66,1,0,1,0,0,0,0,0,0,0,0,24,33.0,4.3,39.0,7.6,1,0.79970,0.02379,0.82349,0.58650,6
Jefferson Lerma,90,0,0,1,0,0,0,0,0,0,0,0,14,12.4,12.7,2.0,2.7,1,0.00000,0.07209,0.07209,0.82740,3
Dominic Solanke,90,0,1,1,0,0,0,0,0,0,0,0,10,6.2,10.8,71.0,8.8,1,0.42680,0.00538,0.43218,0.82740,5
Lewis Cook,90,0,1,1,0,0,0,0,1,0,0,0,25,30.6,49.3,2.0,8.2,1,0.00000,0.41094,0.41094,0.82740,5
Ben Pearson,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00001,0.00001,0.04680,1
Ryan Christie,10,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.1,0.0,0.3,0,0.00000,0.00117,0.00117,0.10320,1
Philip Billing,87,0,0,1,0,0,0,0,0,0,0,0,2,13.0,2.7,27.0,4.3,1,0.37880,0.01621,0.39501,0.78060,3
Mark Travers,90,0,0,1,0,0,0,0,0,0,3,1,26,23.8,0.0,0.0,2.4,1,0.00000,0.00148,0.00148,0.82740,8
Jaidon Anthony,23,1,0,0,0,0,0,0,0,0,0,0,22,37.4,3.8,33.0,7.4,0,0.41670,0.01594,0.43264,0.24090,6
Jordan Zemura,90,0,0,1,0,0,0,0,0,0,0,0,18,18.2,40.3,14.0,7.3,1,0.00000,0.22876,0.22876,0.82740,6
Christian Nørgaard,28,0,0,0,0,0,0,0,0,0,0,0,4,6.2,0.3,2.0,0.9,0,0.00000,0.24620,0.24620,0.74730,1
