Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Thilo Kehrer,90,0,1,1,0,0,0,0,0,0,0,1,32,21.4,11.6,8.0,4.1,1,0.02800,0.01377,0.04177,0.74020,10
Matheus Nunes,72,0,0,0,2,0,0,0,0,0,0,0,14,9.2,23.6,18.0,5.1,1,0.14640,0.03717,0.18357,0.62210,2
Casemiro,31,0,0,0,2,0,0,0,0,0,0,0,1,8.4,0.6,7.0,1.6,0,0.01670,0.00430,0.02100,0.76220,1
Zanka,26,0,0,0,0,0,0,0,0,0,0,0,10,7.2,0.3,0.0,0.8,0,0.00000,0.00313,0.00313,0.11670,1
Renan Lodi,90,0,0,0,4,0,0,0,0,0,0,0,14,13.2,2.1,0.0,1.5,1,0.00000,0.00239,0.00239,1.32450,0
Lucas Paquetá,73,0,0,1,0,0,0,0,0,0,0,0,7,7.8,3.0,1.0,1.2,1,0.02020,0.03572,0.05592,0.71130,3
Antony,90,1,0,0,6,0,0,0,0,0,0,0,27,42.2,14.1,53.0,10.9,1,0.23550,0.06308,0.29858,3.30140,7
Manuel Akanji,90,0,0,0,3,0,0,0,0,0,0,0,19,15.0,1.0,18.0,3.4,1,0.01990,0.00457,0.02447,1.66870,1
Idrissa Gueye,90,0,0,0,1,0,0,0,1,0,0,0,15,16.4,1.3,0.0,1.8,1,0.00000,0.01632,0.01632,1.75470,1
Wout Faes,90,0,0,1,0,0,0,0,0,0,0,0,24,10.4,0.5,4.0,1.5,1,0.07430,0.00839,0.08269,1.16140,6
Layvin Kurzawa,45,0,0,0,3,0,0,0,0,0,0,0,3,6.0,0.0,0.0,0.6,1,0.00000,0.00022,0.00022,2.29320,0
Pierre-Emerick Aubameyang,74,1,0,0,1,0,0,0,0,0,0,3,30,34.0,12.2,21.0,6.7,1,0.10210,0.01220,0.11430,0.37330,9
Carlos Vinicius,53,0,0,0,2,0,0,0,0,0,0,0,2,2.0,12.9,4.0,1.9,0,0.00000,0.09224,0.09224,1.70850,1
Juan Larios,59,0,0,0,2,0,0,0,0,0,0,0,4,10.4,4.9,2.0,1.7,1,0.00000,0.00988,0.00988,1.45960,0
Duje Caleta-Car,90,0,0,0,2,0,0,0,0,0,0,0,11,21.0,11.0,25.0,5.7,1,0.21790,0.07994,0.29784,1.95590,1
Samuel Edozie,23,0,0,0,0,0,0,0,0,0,0,0,3,3.4,10.6,6.0,2.0,0,0.00000,0.00983,0.00983,0.49630,1
Diego Costa,32,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2,10.0,1.1,0,0.08920,0.02455,0.11375,0.42040,1
Serge Aurier,45,0,0,0,1,0,0,0,0,0,0,0,5,10.8,15.7,0.0,2.7,0,0.00000,0.06392,0.06392,0.40710,1
Boubacar Traore,17,0,0,0,0,0,0,0,0,0,0,0,5,8.6,1.1,0.0,1.0,0,0.00000,0.01231,0.01231,0.29350,1
