Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,6,0,22,46.8,0.0,0.0,4.7,1,0.00000,0.00158,0.00158,2.72850,3
Granit Xhaka,90,0,0,0,1,0,0,0,0,0,0,0,9,8.2,25.0,12.0,4.5,1,0.09320,0.06754,0.16074,0.83280,2
Mohamed Elneny,90,0,0,0,1,0,0,0,0,0,0,0,15,4.2,3.8,0.0,0.8,1,0.00000,0.04150,0.04150,0.83280,2
Rob Holding,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Martin Odegaard,90,1,0,0,1,0,0,0,0,0,0,3,37,58.2,44.2,36.0,13.8,1,0.17920,0.46223,0.64143,0.83280,10
Kieran Tierney,60,0,0,0,1,0,0,0,0,0,0,0,11,11.6,15.8,8.0,3.5,1,0.02030,0.01163,0.03193,0.50670,2
Ben White,90,0,0,0,1,0,0,0,1,0,0,0,10,11.8,3.8,4.0,2.0,1,0.00000,0.03460,0.03460,0.83280,1
Eddie Nketiah,29,0,0,0,0,0,0,0,0,0,0,0,4,7.2,0.7,61.0,6.9,0,0.35850,0.00702,0.36552,0.32620,1
Bukayo Saka,90,0,1,0,1,0,0,0,0,0,0,0,19,28.0,25.4,45.0,9.8,1,0.47380,0.10734,0.58114,0.83280,5
Takehiro Tomiyasu,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.09440,1
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,2,0,12,18.8,0.0,0.0,1.9,1,0.00000,0.00069,0.00069,0.83280,2
Gabriel,90,1,0,0,1,0,0,0,0,0,0,1,27,46.2,12.6,35.0,9.4,1,0.74550,0.01841,0.76391,0.83280,9
Gabriel Martinelli,90,0,0,0,1,0,0,0,0,0,0,0,20,25.8,59.0,101.0,18.6,1,0.55490,0.38739,0.94229,0.83280,2
William Saliba,90,0,1,0,1,0,0,0,0,0,0,2,28,29.8,11.5,2.0,4.3,1,0.00000,0.01329,0.01329,0.83280,7
Gabriel Jesus,88,0,0,0,1,0,0,0,1,0,0,0,0,8.2,27.6,79.0,11.5,1,0.31070,0.14008,0.45078,0.73840,1
Philippe Coutinho,65,0,0,1,0,0,0,0,0,0,0,0,11,13.2,30.1,7.0,5.0,1,0.02360,0.11141,0.13501,0.38220,3
Danny Ings,77,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.8,6.0,0.6,1,0.09020,0.00978,0.09998,0.48270,2
Emiliano Martinez,90,0,0,0,1,0,0,0,0,0,1,0,13,8.8,0.0,0.0,0.9,1,0.00000,0.00026,0.00026,0.56480,2
Calum Chambers,90,0,0,0,1,0,0,0,0,0,0,0,16,20.0,0.6,0.0,2.1,1,0.00000,0.00491,0.00491,0.56480,2
Lucas Digne,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,39.1,6.0,6.5,1,0.00000,0.11253,0.11253,0.56480,2
John McGinn,90,0,0,0,1,0,0,0,0,0,0,0,13,14.0,13.2,9.0,3.6,1,0.05490,0.04055,0.09545,0.56480,2
Ollie Watkins,90,0,0,0,1,0,0,0,0,0,0,0,6,4.6,2.5,35.0,4.2,1,0.19500,0.02319,0.21819,0.56480,2
Emiliano Buendía,24,0,0,0,1,0,0,0,0,0,0,0,6,6.6,15.3,0.0,2.2,0,0.00000,0.04411,0.04411,0.18250,1
Matthew Cash,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.4,8.0,2.5,1,0.06400,0.01001,0.07401,0.56480,1
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,0,0,0,0,16,17.2,0.3,0.0,1.8,1,0.00000,0.00305,0.00305,0.56480,2
Leon Bailey,12,0,0,0,0,0,0,0,0,0,0,0,4,4.4,4.6,10.0,1.9,0,0.02730,0.02313,0.05043,0.08210,1
Douglas Luiz,65,0,0,1,0,0,0,0,0,0,0,0,11,2.4,2.3,0.0,0.5,1,0.00000,0.01732,0.01732,0.38220,3
Jacob Ramsey,24,0,0,0,1,0,0,0,0,0,0,0,4,6.4,11.8,9.0,2.7,0,0.03870,0.05614,0.09484,0.18250,1
Boubacar Kamara,90,0,0,0,1,0,0,0,1,0,0,0,12,11.8,12.8,0.0,2.5,1,0.00000,0.01193,0.01193,0.56480,1
Cameron Archer,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,0,0.00000,0.00170,0.00170,0.00000,1
Adam Smith,45,0,0,0,5,0,0,0,1,0,0,0,-1,5.4,0.1,0.0,0.6,1,0.00000,0.00033,0.00033,1.89640,-2
Kieffer Moore,90,0,0,0,9,0,0,0,0,0,0,0,7,11.4,1.8,25.0,3.8,1,0.19260,0.00132,0.19392,3.31850,2
Emiliano Marcondes,8,0,0,0,1,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,0,0.00000,0.00103,0.00103,0.27830,1
Jefferson Lerma,90,0,0,0,9,0,0,0,0,0,0,0,8,4.0,0.3,6.0,1.0,1,0.05550,0.05786,0.11336,3.31850,2
Dominic Solanke,45,0,0,0,4,0,0,0,0,0,0,0,1,0.0,1.4,2.0,0.3,0,0.00000,0.00114,0.00114,1.42210,1
Lewis Cook,76,0,0,0,7,0,0,0,0,0,0,0,11,6.4,0.3,0.0,0.7,1,0.00000,0.00214,0.00214,2.90900,2
Ben Pearson,4,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.13130,1
Ryan Christie,45,0,0,0,5,0,0,0,0,0,0,0,4,1.4,10.5,8.0,2.0,1,0.04760,0.39721,0.44481,1.89640,1
Philip Billing,45,0,0,0,4,0,0,0,0,0,0,0,4,6.8,1.0,0.0,0.8,0,0.00000,0.00453,0.00453,1.42210,1
Chris Mepham,81,0,0,0,8,1,0,0,0,0,0,0,4,3.4,0.2,0.0,0.4,1,0.00000,0.00038,0.00038,3.04030,-4
Mark Travers,90,0,0,0,9,0,0,0,0,0,4,0,17,31.8,0.0,0.0,3.2,1,0.00000,0.00193,0.00193,3.31850,-1
Jaidon Anthony,90,0,0,0,9,0,0,0,0,0,0,0,4,5.4,1.1,7.0,1.4,1,0.03420,0.00903,0.04323,3.31850,2
Jordan Zemura,90,0,0,0,9,0,0,0,0,0,0,0,12,22.6,11.4,0.0,3.4,1,0.00000,0.03480,0.03480,3.31850,-2
Christian Nørgaard,68,0,0,0,1,0,0,0,0,0,0,0,13,18.0,12.3,49.0,7.9,1,0.23160,0.03078,0.26238,0.81210,2
Ivan Toney,90,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,16.6,11.0,2.8,1,0.28360,0.05411,0.33771,1.06890,2
David Raya,90,0,0,0,1,0,0,0,0,0,6,2,25,41.0,0.0,0.0,4.1,1,0.00000,0.00117,0.00117,1.06890,6
Josh Dasilva,90,0,0,0,1,0,0,0,0,0,0,0,8,15.2,22.2,21.0,5.8,1,0.07100,0.09327,0.16427,1.06890,2
Rico Henry,90,0,0,0,1,0,0,0,0,0,0,0,11,16.6,27.1,4.0,4.8,1,0.00000,0.20692,0.20692,1.06890,2
Vitaly Janelt,21,1,0,0,0,0,0,0,0,0,0,0,19,35.0,2.2,60.0,9.7,0,0.77370,0.06738,0.84108,0.25680,6
Mathias Jensen,90,0,0,0,1,0,0,0,0,0,0,0,9,15.8,45.6,9.0,7.0,1,0.03220,0.12310,0.15530,1.06890,2
Yoane Wissa,68,0,0,0,1,0,0,0,1,0,0,0,-4,0.0,0.1,8.0,0.4,1,0.37480,0.00138,0.37618,0.81210,1
Mads Bech Sørensen,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00005,0.00005,0.00000,1
Shandon Baptiste,22,0,0,0,0,0,0,0,0,0,0,0,3,2.8,5.3,0.0,0.8,0,0.00000,0.01420,0.01420,0.25680,1
