Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,3,0,0,0,0,0,5,0,17,31.8,0.0,0.0,3.2,1,0.00000,0.00025,0.00025,3.04210,2
Granit Xhaka,90,0,0,0,2,0,0,0,0,0,0,0,8,16.6,7.3,18.0,4.2,1,0.07590,0.24844,0.32434,1.12980,2
Thomas Partey,90,0,0,0,2,0,0,0,0,0,0,0,17,21.2,13.6,0.0,3.5,1,0.00000,0.05031,0.05031,1.12980,2
Martin Odegaard,81,0,1,0,2,0,0,0,1,0,0,0,16,21.6,19.2,41.0,8.2,1,0.26130,0.47397,0.73527,1.01220,4
Kieran Tierney,8,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.6,0.0,0.1,0,0.00000,0.00082,0.00082,0.11760,1
Ben White,90,0,0,0,2,0,0,0,0,0,0,0,7,8.2,1.8,6.0,1.6,1,0.00000,0.01280,0.01280,1.12980,1
Eddie Nketiah,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,0.00000,0.00099,0.00099,0.11760,1
Bukayo Saka,90,2,0,0,2,0,0,0,0,0,0,3,44,70.8,3.7,97.0,17.2,1,2.04130,0.02396,2.06526,1.01220,15
Takehiro Tomiyasu,90,0,0,0,2,0,0,0,0,0,0,0,17,21.8,5.5,0.0,2.7,1,0.00000,0.00833,0.00833,1.12980,1
Aaron Ramsdale,90,0,0,0,2,0,0,0,0,0,2,0,15,12.6,0.0,0.0,1.3,1,0.00000,0.00380,0.00380,1.12980,1
Gabriel,90,0,0,0,2,0,0,0,0,0,0,0,16,22.6,0.8,0.0,2.3,1,0.00000,0.00933,0.00933,1.12980,1
Gabriel Martinelli,90,1,1,0,2,0,0,0,0,0,0,2,36,51.2,25.2,43.0,11.9,1,0.49730,0.65139,1.14869,1.12980,12
Fábio Vieira,1,0,0,0,0,0,0,0,0,0,0,0,3,4.4,0.5,0.0,0.5,0,0.00000,0.00253,0.00253,0.11760,1
William Saliba,90,0,0,0,2,0,0,0,0,0,0,0,14,15.4,1.2,0.0,1.7,1,0.00000,0.00736,0.00736,1.12980,1
Gabriel Jesus,90,0,1,0,2,0,0,0,0,0,0,0,12,7.4,2.6,52.0,6.2,1,0.28510,0.06403,0.34913,1.01220,5
Philippe Coutinho,64,0,0,0,1,0,0,0,0,0,0,0,6,3.8,14.4,14.0,3.2,1,0.08000,0.01213,0.09213,0.19700,2
Danny Ings,25,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.5,0.0,0.3,0,0.00000,0.00473,0.00473,0.10860,1
Emiliano Martinez,90,0,0,0,1,0,0,0,0,0,2,0,12,14.6,0.0,0.0,1.5,1,0.00000,0.00005,0.00005,0.30560,2
John McGinn,76,0,0,0,1,0,0,0,1,0,0,0,5,3.6,4.8,52.0,6.0,1,0.32570,0.05733,0.38303,0.25110,1
Tyrone Mings,90,0,0,0,1,0,0,0,0,0,0,0,13,15.2,3.1,0.0,1.8,1,0.00000,0.02699,0.02699,0.30560,2
Ollie Watkins,90,0,0,0,1,0,0,0,0,0,0,0,-3,6.4,15.0,43.0,6.4,1,0.08560,0.17257,0.25817,0.30560,2
Emiliano Buendía,90,0,0,0,1,0,0,0,0,0,0,0,14,18.0,24.9,14.0,5.7,1,0.04450,0.10161,0.14611,0.30560,2
Matthew Cash,90,0,0,0,1,0,0,0,0,0,0,0,15,9.6,3.9,2.0,1.6,1,0.00000,0.04556,0.04556,0.30560,2
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,1,0,0,0,11,14.8,1.7,2.0,1.9,1,0.00000,0.01580,0.01580,0.30560,1
Douglas Luiz,90,0,0,0,1,0,0,0,0,0,0,0,14,13.0,34.5,28.0,7.6,1,0.11320,0.21065,0.32385,0.30560,2
Jacob Ramsey,80,0,0,0,1,0,0,0,1,0,0,0,11,11.8,13.3,10.0,3.5,1,0.00000,0.04132,0.04132,0.25110,1
Carney Chukwuemeka,4,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00000,0.00106,0.00106,0.07190,1
Cameron Archer,9,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.8,4.0,0.6,0,0.00000,0.00607,0.00607,0.05450,1
Adam Smith,90,0,0,0,1,0,0,0,0,0,0,0,14,11.6,1.0,0.0,1.3,1,0.00000,0.02146,0.02146,1.07680,2
Ryan Fredericks,71,0,0,0,1,0,0,0,1,0,0,0,3,0.8,3.7,2.0,0.7,1,0.00000,0.01814,0.01814,1.05040,1
Kieffer Moore,1,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,2.0,0.4,0,0.00000,0.00000,0.00000,0.00000,1
Jefferson Lerma,90,0,0,0,1,0,0,0,0,0,0,0,13,12.0,12.4,2.0,2.6,1,0.00000,0.05399,0.05399,1.07680,2
Jack Stacey,18,0,0,0,0,0,0,0,0,0,0,0,3,4.6,1.0,0.0,0.6,0,0.00000,0.00587,0.00587,0.02630,1
Dominic Solanke,90,0,2,0,1,0,0,0,0,0,0,0,17,15.4,11.2,28.0,5.5,1,0.06220,0.26452,0.32672,1.07680,8
Lewis Cook,90,0,0,0,1,0,0,0,0,0,0,0,14,8.4,26.9,10.0,4.5,1,0.01530,0.16389,0.17919,1.07680,2
Ryan Christie,90,1,0,0,1,0,0,0,0,0,0,2,30,42.8,3.0,111.0,15.7,1,0.70780,0.01693,0.72473,1.07680,9
Philip Billing,76,1,0,0,1,0,0,0,0,0,0,3,31,39.8,16.0,21.0,7.7,1,0.16280,0.26840,0.43120,1.07680,10
Chris Mepham,90,0,0,0,1,0,0,0,0,0,0,0,16,18.0,0.8,4.0,2.3,1,0.12980,0.00436,0.13416,1.07680,2
Jaidon Anthony,13,0,0,0,0,0,0,0,0,0,0,0,1,1.2,0.5,2.0,0.4,0,0.00000,0.00132,0.00132,0.00000,1
Ivan Toney,90,1,0,0,5,0,0,0,1,0,0,0,22,43.4,14.4,39.0,9.7,1,0.80430,0.01987,0.82417,1.53050,5
David Raya,90,0,0,0,5,0,0,0,0,0,2,0,11,10.4,0.0,0.0,1.0,1,0.00000,0.00496,0.00496,1.53050,0
Josh Dasilva,45,0,0,0,2,0,0,0,0,0,0,0,7,7.4,5.3,2.0,1.5,1,0.00000,0.00260,0.00260,0.47310,1
Kristoffer Ajer,90,0,0,0,5,0,0,0,0,0,0,0,12,10.8,0.8,4.0,1.6,1,0.00000,0.00414,0.00414,1.53050,0
Rico Henry,90,0,0,0,5,0,0,0,0,0,0,0,9,5.8,1.8,4.0,1.2,1,0.00000,0.00542,0.00542,1.53050,0
Vitaly Janelt,45,0,0,0,3,0,0,0,0,0,0,0,5,6.0,5.6,0.0,1.2,0,0.00000,0.02715,0.02715,1.05740,1
Saman Ghoddos,7,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.8,0.0,0.1,0,0.00000,0.00326,0.00326,0.00000,1
Mathias Jensen,90,0,0,0,5,0,0,0,0,0,0,0,12,17.8,27.1,0.0,4.5,1,0.00000,0.27673,0.27673,1.53050,2
Yoane Wissa,28,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.8,11.0,1.1,0,0.20550,0.01596,0.22146,0.78910,1
Ethan Pinnock,90,0,0,0,5,1,0,0,0,0,0,0,3,6.8,0.2,2.0,0.9,1,0.00000,0.00165,0.00165,1.53050,-2
Frank Onyeka,27,0,0,0,2,0,0,0,0,0,0,0,4,2.2,0.8,2.0,0.5,0,0.00000,0.00492,0.00492,0.78910,1
Shandon Baptiste,62,0,0,0,3,0,0,0,0,0,0,0,9,8.2,15.1,17.0,4.0,1,0.12010,0.01039,0.13049,0.74140,2
Bryan Mbeumo,61,0,0,0,3,0,0,0,0,0,0,0,4,3.2,1.3,27.0,3.2,1,0.05760,0.01223,0.06983,0.74140,2
Adam Lallana,8,0,0,0,0,0,0,0,0,0,0,0,8,6.0,1.6,6.0,1.4,0,0.00000,0.08737,0.08737,0.00000,1
Danny Welbeck,90,0,0,0,1,0,0,0,0,0,0,0,3,2.4,18.5,31.0,5.2,1,0.14320,0.10399,0.24719,0.79090,2
Pascal Groß,81,0,0,0,1,0,0,0,0,0,0,0,15,12.4,45.7,12.0,7.0,1,0.04030,0.39947,0.43977,0.79090,2
Shane Duffy,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.43400,1
Lewis Dunk,90,0,0,0,1,0,0,0,0,0,0,0,15,17.6,1.8,4.0,2.3,1,0.16660,0.01141,0.17801,0.79090,2
Solly March,90,0,0,0,1,0,0,0,0,0,0,0,8,3.8,15.7,9.0,2.9,1,0.04180,0.05577,0.09757,0.79090,2
Adam Webster,90,0,0,0,1,0,0,0,0,0,0,0,21,16.2,14.4,10.0,4.1,1,0.03180,0.02612,0.05792,0.79090,2
Joël Veltman,87,0,0,0,1,0,0,0,1,0,0,0,8,11.2,2.8,0.0,1.4,1,0.00000,0.01583,0.01583,0.79090,1
Neal Maupay,83,0,0,0,2,0,0,0,0,0,0,0,6,2.6,1.6,4.0,0.8,1,0.00000,0.00427,0.00427,1.45100,2
Leandro Trossard,90,0,0,0,1,0,0,0,0,0,0,0,7,4.8,26.8,42.0,7.4,1,0.06740,0.06093,0.12833,0.79090,2
Marc Cucurella,90,0,0,1,0,0,0,0,0,0,0,1,29,30.4,20.7,0.0,5.1,1,0.00000,0.03795,0.03795,1.11490,7
Robert Sánchez,90,0,0,0,1,0,0,0,0,0,2,0,14,12.6,0.0,0.0,1.3,1,0.00000,0.00051,0.00051,0.79090,2
Tariq Lamptey,2,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00000,0.00086,0.00086,0.00000,1
Alexis Mac Allister,90,0,0,0,1,0,0,0,0,0,0,0,17,20.8,35.1,8.0,6.4,1,0.13740,0.12602,0.26342,0.79090,2
Moisés Caicedo,88,0,0,0,1,0,0,0,0,0,0,0,16,26.6,51.1,9.0,8.7,1,0.04000,0.12484,0.16484,0.79090,2
Kaoru Mitoma,23,0,0,0,0,0,0,0,0,0,0,0,2,7.6,11.9,59.0,7.9,0,0.04860,0.11632,0.16492,0.01450,1
César Azpilicueta,90,0,0,1,0,0,0,0,1,0,0,0,27,19.8,45.5,30.0,9.5,1,0.07050,0.22336,0.29386,1.11490,5
Jorginho,90,0,0,1,0,0,0,0,1,0,0,0,12,16.4,3.4,7.0,2.7,1,0.02420,0.02208,0.04628,1.11490,2
Mateo Kovacic,24,0,1,0,0,0,0,0,0,0,0,0,12,18.0,14.2,2.0,3.4,0,0.00000,0.14807,0.14807,0.33270,4
Kepa,90,0,0,1,0,0,0,0,0,0,2,0,26,17.4,0.0,0.0,1.7,1,0.00000,0.00022,0.00022,1.11490,6
Hakim Ziyech,4,0,0,0,0,0,0,0,0,0,0,0,3,0.0,3.0,0.0,0.3,0,0.00000,0.00000,0.00000,0.07190,1
Ruben Loftus-Cheek,65,0,0,1,0,0,0,0,0,0,0,0,13,3.6,28.9,10.0,4.3,1,0.04520,0.20498,0.25018,0.78220,3
Christian Pulisic,71,1,0,1,0,0,0,0,0,0,0,0,25,36.4,14.8,38.0,8.9,1,0.50150,0.02115,0.52265,1.04300,8
