Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,1,0,0,0,0,0,0,2,0,27,19.8,0.0,0.0,2.0,1,0.00,0.00,0.00,1.54,6
Granit Xhaka,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,27.1,13.0,4.5,1,0.12,0.08,0.19,1.66,2
Thomas Partey,58,0,0,0,0,0,0,0,0,0,0,0,9,15.0,4.7,7.0,2.7,1,0.03,0.03,0.06,1.33,1
Martin Odegaard,76,0,0,0,1,0,0,0,0,0,0,0,14,5.2,23.6,10.0,3.9,1,0.10,0.15,0.26,1.64,2
Ben White,84,0,0,0,1,0,0,0,0,0,0,0,12,8.6,5.3,2.0,1.6,1,0.00,0.04,0.04,1.66,2
Eddie Nketiah,90,0,0,0,1,0,0,0,0,0,0,0,9,4.0,11.1,17.0,3.2,1,0.20,0.08,0.27,1.66,2
Bukayo Saka,90,0,0,0,1,0,0,0,0,0,0,0,17,17.6,47.2,33.0,9.8,1,0.19,0.08,0.28,1.66,2
Takehiro Tomiyasu,5,0,0,0,0,0,0,0,0,0,0,0,6,3.4,0.3,0.0,0.4,0,0.00,0.00,0.00,0.00,1
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,3,0,14,16.6,0.0,0.0,1.7,1,0.00,0.00,0.00,1.66,3
Gabriel,90,0,0,0,1,0,0,0,0,0,0,0,17,22.6,2.5,0.0,2.5,1,0.00,0.01,0.01,1.66,2
Albert Sambi Lokonga,18,0,0,0,0,0,0,0,0,0,0,0,11,6.6,1.7,0.0,0.8,0,0.00,0.01,0.01,0.00,1
Gabriel Martinelli,58,0,0,0,0,0,0,0,0,0,0,0,9,5.2,28.1,12.0,4.5,1,0.00,0.05,0.05,1.33,1
Fábio Vieira,13,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.6,2.0,0.3,0,0.00,0.00,0.00,0.02,1
William Saliba,90,0,0,0,1,0,0,0,0,0,0,0,18,30.8,10.3,0.0,4.1,1,0.00,0.00,0.00,1.66,2
Philippe Coutinho,45,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,17.5,4.0,2.1,0,0.13,0.29,0.42,0.77,1
Danny Ings,9,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0.3,4.0,0.8,0,0.07,0.00,0.07,0.23,1
Emiliano Martinez,90,0,0,0,4,0,0,0,0,0,1,0,10,12.0,0.0,0.0,1.2,1,0.00,0.00,0.00,2.25,0
Lucas Digne,45,0,0,0,3,0,0,0,0,0,0,0,3,1.8,11.4,2.0,1.5,1,0.00,0.07,0.07,1.48,0
Tyrone Mings,90,0,0,0,4,0,0,0,0,0,0,0,11,14.8,0.8,0.0,1.6,1,0.00,0.01,0.01,2.25,0
Ollie Watkins,90,1,1,0,4,0,0,0,0,0,0,2,40,39.2,13.1,53.0,10.5,1,0.61,0.04,0.65,2.25,11
Emiliano Buendía,90,0,1,0,4,0,0,0,0,0,0,0,16,5.6,35.8,35.0,7.6,1,0.28,0.43,0.71,2.25,5
Matthew Cash,31,0,0,0,1,0,0,0,0,0,0,0,8,3.6,5.3,0.0,0.9,0,0.00,0.04,0.04,0.35,1
Ezri Konsa Ngoyo,90,0,0,0,4,0,0,0,0,0,0,0,17,12.2,0.7,7.0,2.0,1,0.11,0.01,0.12,2.25,0
Leon Bailey,81,0,0,0,4,0,0,0,0,0,0,0,1,12.0,25.3,26.0,6.3,1,0.46,0.18,0.63,2.19,2
Douglas Luiz,90,0,0,0,4,0,0,0,0,0,0,0,18,16.6,44.2,0.0,6.1,1,0.00,0.14,0.14,2.25,2
Jacob Ramsey,45,0,0,0,3,0,0,0,0,0,0,0,5,2.2,13.5,2.0,1.8,1,0.00,0.01,0.01,1.48,1
Boubacar Kamara,81,0,0,0,4,0,0,0,0,0,0,0,9,7.2,11.9,0.0,1.9,1,0.00,0.07,0.07,2.19,2
Adam Smith,90,0,0,0,1,0,0,0,1,0,0,0,3,5.0,0.7,0.0,0.6,1,0.00,0.00,0.00,2.61,1
Jefferson Lerma,90,0,0,0,1,0,0,0,0,0,0,0,17,33.2,22.2,4.0,5.9,1,0.08,0.02,0.10,2.61,2
Ryan Christie,29,0,0,0,1,0,0,0,0,0,0,0,4,4.2,24.3,4.0,3.3,0,0.00,0.13,0.13,0.39,1
