Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,1,0,11,8.0,0.0,0.0,0.8,1,0.00000,0.00148,0.00148,1.41400,1
Granit Xhaka,90,0,1,1,0,0,0,0,1,0,0,0,24,25.0,36.2,3.0,6.4,1,0.04070,0.25405,0.29475,0.53270,5
Thomas Partey,77,0,0,1,0,0,0,0,0,0,0,0,13,10.2,6.9,0.0,1.7,1,0.00000,0.03697,0.03697,0.49160,3
Kieran Tierney,90,0,0,1,0,0,0,0,0,0,0,0,27,13.6,14.1,3.0,3.1,1,0.02090,0.13033,0.15123,0.53270,6
Ben White,85,0,0,1,0,0,0,0,0,0,0,0,27,16.6,27.6,2.0,4.6,1,0.00000,0.06271,0.06271,0.49160,6
Eddie Nketiah,12,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,2.0,0.3,0,0.00000,0.00260,0.00260,0.04110,1
Bukayo Saka,90,0,2,1,0,0,0,0,0,0,0,0,28,42.6,41.8,33.0,11.7,1,0.22860,0.13483,0.36343,0.53270,9
Takehiro Tomiyasu,4,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.7,0.0,0.2,0,0.00000,0.00296,0.00296,0.04110,1
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,2,0,24,17.8,0.0,0.0,1.8,1,0.00000,0.00068,0.00068,0.53270,6
Gabriel,90,0,0,1,0,0,0,0,0,0,0,0,27,16.2,1.1,1.0,1.8,1,0.02180,0.02036,0.04216,0.53270,6
Albert Sambi Lokonga,12,0,0,0,0,0,0,0,0,0,0,0,4,1.6,0.9,0.0,0.3,0,0.00000,0.00311,0.00311,0.04110,1
Gabriel Martinelli,77,0,0,1,0,0,0,0,0,0,0,0,7,12.4,24.6,23.0,6.0,1,0.17000,0.17905,0.34905,0.49160,3
Fábio Vieira,90,1,0,1,0,0,0,0,0,0,0,2,31,38.0,15.3,7.0,6.0,1,0.04570,0.03743,0.08313,0.53270,10
William Saliba,90,1,0,1,0,0,0,0,0,0,0,3,43,53.4,1.0,35.0,8.9,1,0.16440,0.00702,0.17142,0.53270,15
Marquinhos,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0.00000,0.00016,0.00016,0.00000,1
Gabriel Jesus,90,1,0,1,0,0,0,0,1,0,0,1,30,43.6,4.5,77.0,12.5,1,0.82670,0.02897,0.85567,0.53270,6
Philippe Coutinho,83,0,0,1,0,0,0,0,1,0,0,0,5,9.6,19.4,28.0,5.7,1,0.14410,0.10400,0.24810,0.25350,2
Danny Ings,6,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,1.6,2.0,0.1,0,0.58700,0.00208,0.58908,0.08360,1
Emiliano Martinez,90,0,0,1,0,0,0,0,0,0,1,0,21,11.2,0.0,0.0,1.1,1,0.00000,0.00189,0.00189,0.33710,6
Lucas Digne,90,0,0,1,0,0,0,0,0,0,0,1,23,21.4,4.6,0.0,2.6,1,0.00000,0.02289,0.02289,0.33710,7
John McGinn,90,0,0,1,0,0,0,0,0,0,0,0,15,20.2,13.1,2.0,3.5,1,0.00000,0.04461,0.04461,0.33710,3
Tyrone Mings,90,0,0,1,0,0,0,0,0,0,0,3,26,20.6,10.3,10.0,4.1,1,0.00000,0.40610,0.40610,0.33710,9
Ollie Watkins,90,0,0,1,0,0,0,0,0,0,0,0,10,17.6,12.2,21.0,5.1,1,0.06940,0.16311,0.23251,0.33710,2
Emiliano Buendía,23,0,0,0,0,0,0,0,0,0,0,0,7,5.2,11.3,0.0,1.7,0,0.00000,0.00799,0.00799,0.10590,1
Ezri Konsa Ngoyo,90,0,0,1,0,0,0,0,0,0,0,1,23,9.0,0.3,0.0,0.9,1,0.00000,0.00167,0.00167,0.33710,7
Leon Bailey,66,0,0,1,0,0,0,0,0,0,0,0,4,5.6,10.4,40.0,5.6,1,0.19420,0.19704,0.39124,0.23120,3
Douglas Luiz,46,0,0,0,0,0,0,0,0,0,0,0,8,16.0,11.2,0.0,2.7,0,0.00000,0.00733,0.00733,0.17750,1
