Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,3,0,16,19.4,0.0,0.0,1.9,1,0.00000,0.00033,0.00033,2.08080,2
Granit Xhaka,90,0,0,1,0,0,0,0,0,0,0,0,16,20.4,4.6,22.0,4.7,1,0.07150,0.02902,0.10052,0.29150,3
Mohamed Elneny,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.5,0.0,0.2,0,0.00000,0.00281,0.00281,0.00000,1
Rob Holding,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Thomas Partey,90,0,0,1,0,0,0,0,0,0,0,0,14,12.2,2.6,11.0,2.6,1,0.34340,0.01889,0.36229,0.29150,3
Martin Odegaard,86,0,0,1,0,0,0,0,0,0,0,0,6,9.8,27.3,6.0,4.3,1,0.12330,0.28061,0.40391,0.29150,3
Kieran Tierney,12,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.0,0.0,0.4,0,0.00000,0.00106,0.00106,0.05020,1
Ben White,90,0,0,1,0,0,0,0,1,0,0,0,21,10.4,12.8,7.0,3.0,1,0.12530,0.02042,0.14572,0.29150,5
Bukayo Saka,90,0,1,1,0,0,0,0,1,0,0,0,16,23.8,43.5,6.0,7.3,1,0.10730,0.13067,0.23797,0.29150,5
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,1,0,21,12.8,0.0,0.0,1.3,1,0.00000,0.00090,0.00090,0.29150,6
Gabriel,90,1,0,1,0,0,0,0,0,0,0,3,40,48.2,0.3,39.0,8.8,1,0.77530,0.00865,0.78395,0.29150,15
Gabriel Martinelli,90,0,0,1,0,0,0,0,0,0,0,0,5,0.0,13.3,7.0,2.0,1,0.16200,0.22267,0.38467,0.29150,3
Ainsley Maitland-Niles,90,0,0,0,4,0,0,0,0,0,0,0,15,21.6,37.7,4.0,6.3,1,0.00000,0.08040,0.08040,0.85980,2
William Saliba,90,0,0,1,0,0,0,0,0,0,0,2,28,19.6,4.3,4.0,2.8,1,0.00000,0.00503,0.00503,0.29150,8
Gabriel Jesus,90,0,0,1,0,0,0,0,0,0,0,0,2,16.4,23.8,51.0,9.1,1,0.54550,0.03990,0.58540,0.29150,2
Danny Ings,11,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.00000,0.00074,0.00074,0.00000,1
Emiliano Martinez,90,0,0,0,1,0,0,0,1,0,3,0,15,27.2,0.0,0.0,2.7,1,0.00000,0.00014,0.00014,0.51810,2
Lucas Digne,78,1,0,0,1,0,0,0,0,0,0,2,22,39.6,1.6,7.0,4.8,1,0.03460,0.01021,0.04481,0.51810,10
Morgan Sanson,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00000,0.00022,0.00022,0.00000,1
John McGinn,20,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,0,0.00000,0.00226,0.00226,0.07410,1
Tyrone Mings,90,0,0,0,1,0,0,0,1,0,0,0,12,22.6,0.1,0.0,2.3,1,0.00000,0.00257,0.00257,0.51810,1
Ollie Watkins,77,0,1,0,1,0,0,0,0,0,0,0,15,18.8,13.3,8.0,4.0,1,0.00000,0.09425,0.09425,0.51810,5
Emiliano Buendía,78,0,0,0,1,0,0,0,0,0,0,0,9,8.4,1.9,4.0,1.4,1,0.10090,0.01824,0.11914,0.51810,2
Matthew Cash,90,0,0,0,1,0,0,0,0,0,0,0,13,7.2,1.7,1.0,1.0,1,0.01570,0.00398,0.01968,0.51810,2
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,0,0,0,0,14,14.0,0.2,2.0,1.6,1,0.00000,0.00145,0.00145,0.51810,2
Leon Bailey,69,1,0,0,1,0,0,0,1,0,0,1,21,42.2,15.4,30.0,8.8,1,0.33010,0.05338,0.38348,0.44400,7
Douglas Luiz,90,0,0,0,1,0,0,0,0,0,0,0,10,9.8,12.3,0.0,2.2,1,0.00000,0.01397,0.01397,0.51810,2
Jacob Ramsey,90,1,2,0,1,1,0,0,0,0,0,3,43,57.8,13.3,19.0,9.0,1,0.17980,0.02513,0.20493,0.51810,14
Boubacar Kamara,12,0,0,0,0,0,0,0,0,0,0,0,5,3.4,0.7,0.0,0.4,0,0.00000,0.00123,0.00123,0.00000,1
Adam Smith,90,0,0,0,4,0,0,0,0,0,0,0,9,16.0,0.7,0.0,1.7,1,0.00000,0.00620,0.00620,2.16080,0
Junior Stanislas,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.03660,1
Ryan Fredericks,72,0,0,0,3,0,0,0,0,0,0,0,6,7.6,0.3,0.0,0.8,1,0.00000,0.00269,0.00269,1.43550,1
Kieffer Moore,90,0,0,0,4,0,0,0,0,0,0,0,1,7.4,8.0,17.0,3.2,1,0.51560,0.00506,0.52066,2.16080,2
Jefferson Lerma,90,0,0,0,4,0,0,0,1,0,0,0,10,12.0,10.5,36.0,5.9,1,0.13860,0.04872,0.18732,2.16080,1
Jack Stacey,17,0,0,0,1,0,0,0,0,0,0,0,3,3.8,0.2,4.0,0.8,0,0.08920,0.00070,0.08990,0.72520,1
Dominic Solanke,90,1,0,0,4,0,0,0,0,0,0,0,30,44.6,1.8,21.0,6.7,1,0.27820,0.01464,0.29284,2.16080,6
Lewis Cook,90,0,0,0,4,0,0,0,0,0,0,0,20,23.4,5.3,0.0,2.9,1,0.00000,0.01040,0.01040,2.16080,2
Philip Billing,87,1,0,0,4,0,0,0,0,0,0,0,25,43.2,11.1,25.0,7.9,1,0.16610,0.07600,0.24210,2.12420,7
Chris Mepham,90,0,0,0,4,0,0,0,1,0,0,0,7,19.0,10.4,10.0,3.9,1,0.04800,0.42287,0.47087,2.16080,-1
Mark Travers,90,0,0,0,4,0,0,0,0,0,0,0,8,10.2,0.0,0.0,1.0,1,0.00000,0.00094,0.00094,2.16080,0
David Raya,90,0,0,0,2,0,0,0,0,0,5,0,21,45.2,0.0,0.0,4.5,1,0.00000,0.00037,0.00037,1.47770,2
Sergi Canos,9,0,0,0,1,0,0,0,0,0,0,0,2,4.0,0.5,4.0,0.9,0,0.07270,0.00069,0.07339,0.57350,1
Josh Dasilva,80,0,0,0,1,0,0,0,0,0,0,0,8,1.4,2.3,0.0,0.4,1,0.00000,0.02181,0.02181,0.90410,2
