Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,1,0,0,0,0,0,2,0,12,19.0,0.0,0.0,1.9,1,0.00000,0.00194,0.00194,0.89570,2
Granit Xhaka,90,0,1,0,2,0,0,0,0,0,0,0,24,35.2,50.1,10.0,9.5,1,0.00000,0.71811,0.71811,0.33160,5
Rob Holding,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Thomas Partey,90,0,0,0,2,0,0,0,0,0,0,0,18,13.4,17.2,8.0,3.9,1,0.11370,0.03668,0.15038,0.33160,2
Martin Odegaard,90,0,1,0,2,0,0,0,0,0,0,0,18,7.0,17.6,28.0,5.3,1,0.41770,0.03587,0.45357,0.33160,5
Ben White,45,0,0,0,1,0,0,0,1,0,0,0,3,2.2,0.5,0.0,0.3,1,0.00000,0.00482,0.00482,0.11090,0
Eddie Nketiah,90,2,0,0,2,0,0,0,0,0,0,3,51,71.4,1.9,107.0,18.0,1,1.68170,0.01451,1.69621,0.33160,13
Bukayo Saka,90,1,0,0,2,0,0,0,0,0,0,2,30,49.6,50.8,57.0,15.7,1,0.21910,0.52336,0.74246,0.33160,9
Takehiro Tomiyasu,45,0,1,0,1,0,0,0,0,0,0,0,24,33.6,26.7,6.0,6.6,0,0.00000,0.05949,0.05949,0.22060,4
Aaron Ramsdale,90,0,0,0,2,0,0,0,0,0,2,0,8,9.8,0.0,0.0,1.0,1,0.00000,0.00121,0.00121,0.33160,1
Gabriel,90,0,0,0,2,0,0,0,0,0,0,0,17,21.8,1.6,16.0,3.9,1,0.10340,0.01084,0.11424,0.33160,1
Gabriel Martinelli,81,0,0,0,2,0,0,0,0,0,0,0,7,2.6,49.1,36.0,8.8,1,0.35190,0.16902,0.52092,0.28830,2
William Saliba,90,0,0,0,2,0,0,0,0,0,0,0,15,9.8,1.9,0.0,1.2,1,0.00000,0.01070,0.01070,0.33160,1
Philippe Coutinho,21,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.1,2.0,0.3,0,0.00000,0.00016,0.00016,0.05190,1
Danny Ings,18,0,0,0,0,0,0,0,0,0,0,0,5,6.4,13.0,0.0,1.9,0,0.00000,0.00160,0.00160,0.03230,1
Emiliano Martinez,90,0,0,1,0,0,0,0,0,0,5,3,38,46.6,0.0,0.0,4.7,1,0.00000,0.00142,0.00142,0.40970,10
Tyrone Mings,90,0,0,1,0,0,0,0,0,0,0,0,23,12.8,1.9,0.0,1.5,1,0.00000,0.01449,0.01449,0.40970,6
Ollie Watkins,90,1,0,1,0,0,0,0,0,0,0,2,27,29.2,2.1,38.0,6.9,1,0.52890,0.01289,0.54179,0.40970,8
Emiliano Buendía,68,0,0,1,0,0,0,0,0,0,0,0,9,1.8,24.3,4.0,3.0,1,0.04550,0.04493,0.09043,0.35780,3
Matthew Cash,9,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,0.0,0.1,0,0.00000,0.00000,0.00000,0.03330,1
Ezri Konsa Ngoyo,90,0,0,1,0,0,0,0,0,0,0,1,24,4.8,0.1,0.0,0.5,1,0.00000,0.00091,0.00091,0.40970,7
Leon Bailey,80,0,0,1,0,0,0,0,0,0,0,0,2,1.6,15.4,33.0,5.0,1,0.47650,0.08784,0.56434,0.37630,3
Douglas Luiz,87,0,1,1,0,0,0,0,1,0,0,0,23,22.8,44.0,5.0,7.2,1,0.06540,0.27785,0.34325,0.40970,5
Jacob Ramsey,90,0,0,1,0,0,0,0,0,0,0,0,17,30.8,24.3,36.0,9.1,1,0.20310,0.10632,0.30942,0.40970,3
Carney Chukwuemeka,8,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.3,6.0,0.8,0,0.00000,0.00613,0.00613,0.18400,1
Boubacar Kamara,90,0,0,1,0,0,0,0,0,0,0,0,10,13.4,5.1,17.0,3.6,1,0.05570,0.03448,0.09018,0.40970,3
Adam Smith,90,0,0,0,1,0,0,0,0,0,0,0,9,5.0,0.9,0.0,0.6,1,0.00000,0.00876,0.00876,1.77110,2
Kieffer Moore,90,0,0,0,1,0,0,0,0,0,0,0,-5,0.0,2.3,14.0,1.6,1,0.50730,0.00914,0.51644,1.77110,2
Jefferson Lerma,90,0,0,0,1,0,0,0,0,0,0,0,12,21.0,2.4,0.0,2.3,1,0.00000,0.02589,0.02589,1.77110,2
Ben Pearson,15,0,0,0,1,0,0,0,0,0,0,0,3,0.4,0.7,0.0,0.1,0,0.00000,0.01138,0.01138,1.11660,1
Ryan Christie,87,0,0,0,1,0,0,0,0,0,0,0,-1,5.0,36.9,15.0,5.7,1,0.14230,0.02761,0.16991,1.68730,2
Lloyd Kelly,90,0,0,0,1,0,0,0,1,0,0,0,8,8.2,0.1,5.0,1.3,1,0.02030,0.00189,0.02219,1.77110,1
Siriki Dembélé,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,0,0.00000,0.00024,0.00024,0.08380,1
Jaidon Anthony,90,1,0,0,1,0,0,0,0,0,0,3,26,44.4,17.5,29.0,9.1,1,0.18840,0.18455,0.37295,1.77110,10
Jordan Zemura,90,0,0,0,1,0,0,0,0,0,0,0,21,12.8,25.8,19.0,5.8,1,0.17810,0.51063,0.68873,1.77110,2
Christian Nørgaard,90,0,0,1,0,0,0,0,0,0,0,0,14,14.8,12.6,0.0,2.7,1,0.00000,0.06658,0.06658,0.50140,3
Ivan Toney,90,0,0,1,0,0,0,0,1,0,0,0,-5,0.0,3.3,11.0,1.0,1,0.14230,0.00825,0.15055,0.50140,1
David Raya,90,0,0,1,0,0,0,0,0,0,5,3,37,30.8,10.0,0.0,4.1,1,0.00000,0.00516,0.00516,0.50140,10
Josh Dasilva,59,0,0,0,0,0,0,0,0,0,0,0,3,6.4,0.3,0.0,0.7,1,0.00000,0.00172,0.00172,0.41380,1
Kristoffer Ajer,90,0,0,1,0,0,0,0,0,0,0,0,21,10.4,0.2,0.0,1.1,1,0.00000,0.00315,0.00315,0.50140,6
Rico Henry,90,0,0,1,0,0,0,0,0,0,0,0,22,18.4,30.6,8.0,5.7,1,0.00000,0.07602,0.07602,0.50140,6
Vitaly Janelt,30,0,0,0,0,0,0,0,0,0,0,0,2,0.6,6.3,0.0,0.7,0,0.00000,0.00178,0.00178,0.08750,1
Mathias Jensen,90,0,0,1,0,0,0,0,0,0,0,0,7,8.0,7.6,4.0,2.0,1,0.04980,0.02731,0.07711,0.50140,3
Yoane Wissa,16,0,0,0,0,0,0,0,1,0,0,0,-1,0.4,0.5,0.0,0.1,0,0.00000,0.02361,0.02361,0.01950,0
Mads Roerslev,90,0,0,1,0,0,0,0,0,0,0,0,19,9.4,3.7,6.0,1.9,1,0.09640,0.18550,0.28190,0.50140,6
Ethan Pinnock,90,0,0,1,0,0,0,0,0,0,0,0,22,17.8,0.0,2.0,2.0,1,0.00000,0.00122,0.00122,0.50140,6
Bryan Mbeumo,73,0,0,1,0,0,0,0,0,0,0,0,2,0.0,3.1,0.0,0.1,1,0.00000,0.01620,0.01620,0.50140,2
Adam Lallana,29,0,0,0,0,0,0,0,0,0,0,0,4,0.0,3.3,6.0,0.9,1,0.00000,0.01282,0.01282,0.05860,1
Danny Welbeck,65,0,0,0,2,0,0,0,0,0,0,0,3,0.4,23.3,13.0,3.7,1,0.28340,0.05559,0.33899,1.21790,2
Pascal Groß,90,0,0,0,2,0,0,0,0,0,0,0,13,14.6,30.4,11.0,5.6,1,0.04580,0.34087,0.38667,1.29630,2
Lewis Dunk,90,0,0,0,2,0,0,0,0,0,0,0,16,30.4,5.6,0.0,3.6,1,0.00000,0.05683,0.05683,1.29630,1
Solly March,90,0,0,0,2,0,0,0,0,0,0,0,3,7.6,4.3,25.0,3.7,1,0.34190,0.05513,0.39703,1.29630,2
Joël Veltman,60,0,0,0,2,0,0,0,0,0,0,0,11,10.2,3.2,1.0,1.4,0,0.03590,0.01076,0.04666,1.23770,1
Leandro Trossard,8,0,0,0,0,0,0,0,0,0,0,0,5,4.2,0.7,2.0,0.7,0,0.00000,0.01159,0.01159,0.04320,1
Marc Cucurella,90,0,0,1,0,0,0,0,0,0,0,0,24,22.4,3.1,0.0,2.6,1,0.00000,0.01895,0.01895,1.40290,6
Robert Sánchez,90,0,0,0,2,0,0,0,0,0,0,0,7,7.0,0.0,0.0,0.7,1,0.00000,0.00004,0.00004,1.29630,1
Tariq Lamptey,12,0,0,0,0,0,0,0,0,0,0,0,3,0.6,5.0,6.0,1.2,0,0.06880,0.04034,0.10914,0.07840,1
Alexis Mac Allister,90,0,0,0,2,0,0,0,1,0,0,0,7,12.4,29.0,13.0,5.4,1,0.09010,0.10909,0.19919,1.29630,1
Moisés Caicedo,90,0,0,0,2,0,0,0,0,0,0,0,11,13.0,14.3,0.0,2.7,1,0.00000,0.03993,0.03993,1.29630,2
Kaoru Mitoma,90,1,0,0,2,0,0,0,0,0,0,3,37,47.6,30.3,15.0,9.3,1,0.02040,0.16512,0.18552,1.29630,10
César Azpilicueta,9,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.0,0.0,0.2,0,0.00000,0.00002,0.00002,0.18400,1
Thiago Silva,90,0,0,1,0,0,0,0,0,0,0,0,26,35.8,10.4,9.0,5.5,1,0.35090,0.01934,0.37024,1.40290,6
