Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Granit Xhaka,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00000,0.06325,0.06325,1.21190,2
Thomas Partey,90,0,0,1,0,0,0,0,0,0,0,0,17,22.6,12.9,10.0,4.6,1,0.09570,0.01650,0.11220,1.21190,3
Martin Odegaard,90,0,0,1,0,0,0,0,0,0,0,0,9,3.4,8.3,23.0,3.5,1,0.08930,0.05632,0.14562,1.21190,3
Kieran Tierney,7,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.2,0.0,0.6,0,0.00000,0.00005,0.00005,0.00000,1
Ben White,90,0,0,1,0,0,0,0,1,0,0,0,25,31.4,12.0,0.0,4.3,1,0.00000,0.03297,0.03297,1.21190,5
Eddie Nketiah,7,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.3,0.0,1.3,0,0.00000,0.04258,0.04258,0.00000,1
Bukayo Saka,90,0,1,1,0,0,0,0,0,0,0,0,10,1.8,7.6,36.0,4.5,1,0.25830,0.11039,0.36869,1.21190,6
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,2,0,25,19.0,0.0,0.0,1.9,1,0.00000,0.00529,0.00529,1.21190,6
Gabriel,90,0,0,1,0,0,0,0,0,0,0,1,26,24.2,0.6,2.0,2.7,1,0.00000,0.00936,0.00936,1.21190,7
Albert Sambi Lokonga,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00001,0.00001,0.00000,1
Gabriel Martinelli,90,1,0,1,0,0,0,0,0,0,0,0,23,38.2,15.2,39.0,9.2,1,0.37730,0.04731,0.42461,1.21190,8
William Saliba,90,0,0,1,0,0,0,0,0,0,0,2,30,22.2,0.1,0.0,2.2,1,0.00000,0.00182,0.00182,1.21190,8
Gabriel Jesus,82,0,0,1,0,0,0,0,0,0,0,0,7,7.4,3.2,38.0,4.9,1,0.14540,0.08101,0.22641,1.21190,2
Philippe Coutinho,81,0,0,0,2,0,0,0,0,0,0,0,7,3.0,19.9,21.0,4.4,1,0.10870,0.05172,0.16042,0.58980,2
Danny Ings,65,0,0,0,1,0,0,0,1,0,0,0,0,1.0,12.5,33.0,4.7,1,0.26030,0.00927,0.26957,0.48040,1
Emiliano Martinez,90,0,0,0,2,0,0,0,0,0,1,0,10,9.2,0.0,0.0,0.9,1,0.00000,0.00004,0.00004,0.58980,1
Lucas Digne,90,0,0,0,2,0,0,0,0,0,0,0,11,13.2,22.4,8.0,4.4,1,0.00000,0.11056,0.11056,0.58980,1
John McGinn,90,0,0,0,2,0,0,0,0,0,0,0,16,9.6,4.0,17.0,3.1,1,0.07820,0.03824,0.11644,0.58980,2
Ollie Watkins,24,0,0,0,1,0,0,0,0,0,0,0,3,2.0,11.8,2.0,1.6,0,0.00000,0.00949,0.00949,0.10940,1
Emiliano Buendía,45,0,0,0,1,0,0,0,0,0,0,0,8,4.8,15.8,2.0,2.3,0,0.00000,0.08516,0.08516,0.10940,1
Matthew Cash,90,0,0,0,2,0,0,0,0,0,0,0,15,13.2,11.0,10.0,3.4,1,0.03030,0.03853,0.06883,0.58980,1
