Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,1,0,0,0,0,0,2,0,20,19.2,0.0,0.0,1.9,1,0.00000,0.00423,0.00423,0.79410,2
Granit Xhaka,90,0,0,0,2,0,0,0,0,0,0,0,11,14.8,12.5,0.0,2.7,1,0.00000,0.09274,0.09274,1.14510,2
Mohamed Elneny,16,0,0,0,1,0,0,0,0,0,0,0,3,0.4,0.1,0.0,0.1,0,0.00000,0.00074,0.00074,0.46210,1
Rob Holding,3,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00000,0.00000,0.00000,0.14050,1
Thomas Partey,73,0,0,0,1,0,0,0,1,0,0,0,7,8.2,20.7,18.0,4.7,1,0.16150,0.02229,0.18379,0.68310,1
Martin Odegaard,86,1,1,0,2,0,0,0,0,0,0,3,46,58.8,44.3,27.0,13.0,1,0.06230,0.77473,0.83703,1.00470,13
Kieran Tierney,30,0,0,0,2,0,0,0,0,0,0,0,4,7.4,0.3,0.0,0.8,0,0.00000,0.00014,0.00014,0.78380,0
Ben White,59,0,0,0,0,0,0,0,0,0,0,0,6,6.4,0.3,2.0,0.9,1,0.00000,0.00079,0.00079,0.36130,1
Eddie Nketiah,90,1,0,0,2,0,0,0,0,0,0,2,33,33.6,2.8,39.0,7.5,1,0.71610,0.02459,0.74069,1.14510,8
Bukayo Saka,90,1,0,0,2,0,0,0,1,0,0,0,23,45.2,11.3,21.0,7.8,1,0.36720,0.06131,0.42851,1.14510,6
Takehiro Tomiyasu,30,0,0,0,2,0,0,0,0,0,0,0,4,2.2,0.0,0.0,0.2,0,0.00000,0.00019,0.00019,0.78380,0
Aaron Ramsdale,90,0,0,0,2,0,0,0,0,0,3,0,15,23.2,0.0,0.0,2.3,1,0.00000,0.00053,0.00053,1.14510,2
Gabriel,90,0,0,0,2,0,0,0,1,0,0,0,2,9.8,0.8,21.0,3.2,1,0.43270,0.00321,0.43591,1.14510,0
Gabriel Martinelli,90,1,1,0,2,0,0,0,0,0,0,0,28,39.4,6.3,100.0,14.6,1,0.65780,0.07771,0.73551,1.14510,10
Ainsley Maitland-Niles,89,0,0,0,2,0,0,0,0,0,0,0,12,13.0,1.3,0.0,1.4,1,0.00000,0.03155,0.03155,0.74520,2
William Saliba,90,0,0,0,2,0,0,0,0,0,0,0,9,13.4,0.2,4.0,1.8,1,0.12830,0.00070,0.12900,1.14510,1
Philippe Coutinho,12,0,0,0,0,0,0,0,0,0,0,0,6,3.6,0.4,0.0,0.4,0,0.00000,0.00305,0.00305,0.02300,1
Danny Ings,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,4.0,0.5,0,0.00000,0.00252,0.00252,0.02300,1
Calum Chambers,8,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.3,1.0,0.0,0,0.04800,0.00246,0.05046,0.02300,0
Lucas Digne,90,0,0,1,0,0,0,0,0,0,0,1,24,14.6,29.3,0.0,4.4,1,0.00000,0.06492,0.06492,0.42300,7
Robin Olsen,90,0,0,1,0,0,0,0,0,0,1,1,24,8.2,0.0,0.0,0.8,1,0.00000,0.00221,0.00221,0.42300,7
John McGinn,77,0,1,1,0,0,0,0,0,0,0,0,18,21.2,24.8,0.0,4.6,1,0.00000,0.39124,0.39124,0.40000,6
Tyrone Mings,90,0,0,1,0,0,0,0,1,0,0,0,20,6.2,0.9,4.0,1.1,1,0.00000,0.01547,0.01547,0.42300,5
Ollie Watkins,90,0,1,1,0,0,0,0,0,0,0,0,17,22.4,32.7,59.0,11.4,1,0.39440,0.16972,0.56412,0.42300,5
Emiliano Buendía,81,1,0,1,0,0,0,0,0,0,0,2,28,44.0,22.3,20.0,8.6,1,0.09220,0.05448,0.14668,0.40000,10
Matthew Cash,24,0,0,0,0,0,0,0,0,0,0,0,8,4.4,2.9,0.0,0.7,0,0.00000,0.04512,0.04512,0.18140,1
Ezri Konsa Ngoyo,81,0,0,1,0,0,0,0,1,0,0,0,23,12.2,0.3,0.0,1.3,1,0.00000,0.00238,0.00238,0.40000,5
Leon Bailey,65,0,0,1,0,0,0,0,0,0,0,0,4,4.8,1.3,0.0,0.6,1,0.00000,0.00483,0.00483,0.24160,3
Douglas Luiz,81,1,0,1,0,0,0,0,0,0,0,3,34,49.8,14.6,47.0,11.1,1,0.45610,0.02582,0.48192,0.40000,11
Carney Chukwuemeka,3,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,0,0.00000,0.00007,0.00007,0.00000,1
Boubacar Kamara,90,0,0,1,0,0,0,0,0,0,0,0,15,19.8,16.1,6.0,4.2,1,0.00000,0.03043,0.03043,0.42300,3
Adam Smith,90,0,0,0,2,0,0,0,0,0,0,0,11,11.6,1.8,0.0,1.3,1,0.00000,0.03284,0.03284,1.49430,1
Jamal Lowe,10,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,0.0,0.1,0,0.00000,0.00903,0.00903,0.61900,1
Kieffer Moore,90,0,0,0,2,0,0,0,0,0,0,0,-3,5.2,2.6,21.0,2.9,1,0.30760,0.09143,0.39903,1.49430,2
Jefferson Lerma,90,0,0,0,2,0,0,0,0,0,0,0,8,22.6,5.3,0.0,2.8,1,0.00000,0.09087,0.09087,1.49430,2
Dominic Solanke,90,0,0,0,2,0,0,0,1,0,0,0,-4,8.8,11.5,41.0,6.1,1,0.18640,0.01034,0.19674,1.49430,1
Lewis Cook,79,0,0,0,2,0,0,0,0,0,0,0,9,4.2,1.7,5.0,1.1,1,0.05900,0.00914,0.06814,0.87520,2
Ryan Christie,10,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,4.0,0.4,0,0.00000,0.00208,0.00208,0.61900,1
Philip Billing,37,0,0,0,2,0,0,0,0,0,0,0,2,0.0,0.5,2.0,0.1,1,0.00000,0.00157,0.00157,0.78800,1
