Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,1,0,0,0,0,0,0,0,0,23,4.8,0.0,0.0,0.5,1,0.00000,0.00033,0.00033,0.39770,6
Granit Xhaka,90,0,1,0,1,0,0,0,0,0,0,0,22,31.8,31.9,23.0,8.7,1,0.07150,0.07691,0.14841,1.06940,5
Mohamed Elneny,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Thomas Partey,90,0,0,0,1,0,0,0,0,0,0,0,14,8.2,6.6,3.0,1.8,1,0.04970,0.08360,0.13330,1.06940,2
Martin Odegaard,90,0,2,0,1,0,0,0,0,0,0,3,41,38.8,67.8,40.0,14.7,1,0.37930,0.25910,0.63840,1.06940,11
Kieran Tierney,72,0,0,0,1,0,0,0,0,0,0,0,10,3.2,13.8,4.0,2.1,1,0.00000,0.03930,0.03930,0.97220,2
Ben White,90,0,0,0,1,0,0,0,0,0,0,0,20,19.0,22.5,4.0,4.6,1,0.00000,0.32862,0.32862,1.06940,2
Eddie Nketiah,90,1,0,0,1,0,0,0,0,0,0,0,22,32.0,2.7,55.0,9.0,1,0.45560,0.02662,0.48222,1.06940,6
Bukayo Saka,90,1,0,0,1,0,0,0,0,0,0,2,38,48.4,53.2,29.0,13.1,1,0.65570,0.31127,0.96697,1.06940,9
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,3,0,14,20.0,0.0,0.0,2.0,1,0.00000,0.01222,0.01222,1.06940,3
Gabriel,90,0,0,0,1,0,0,0,0,0,0,0,20,19.2,4.7,0.0,2.4,1,0.00000,0.05834,0.05834,1.06940,2
Gabriel Martinelli,87,1,0,0,1,0,0,0,0,0,0,1,26,37.2,13.5,29.0,8.0,1,0.07690,0.03759,0.11449,1.02160,8
Ainsley Maitland-Niles,36,0,0,0,1,0,0,0,0,0,0,0,11,14.4,14.5,0.0,2.9,0,0.00000,0.19627,0.19627,0.26280,1
