Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,1,0,0,0,0,0,4,0,19,32.6,0.0,0.0,3.3,1,0.00000,0.00102,0.00102,2.12770,3
Granit Xhaka,90,0,0,1,0,0,0,0,0,0,0,0,19,23.4,19.1,3.0,4.6,1,0.09110,0.15427,0.24537,1.53970,3
Thomas Partey,90,0,0,1,0,0,0,0,0,0,0,0,12,23.2,16.1,6.0,4.5,1,0.11520,0.05211,0.16731,1.53970,3
Martin Odegaard,90,1,0,1,0,0,0,0,0,0,0,1,27,43.8,31.3,18.0,9.3,1,0.14180,0.14389,0.28569,1.53970,9
Kieran Tierney,11,0,0,0,0,0,0,0,0,0,0,0,4,2.0,3.0,0.0,0.5,0,0.00000,0.00027,0.00027,0.35460,1
Ben White,90,0,0,1,0,0,0,0,0,0,0,2,29,23.4,9.5,0.0,3.3,1,0.00000,0.05013,0.05013,1.53970,8
Eddie Nketiah,90,0,0,1,0,0,0,0,0,0,0,0,-5,11.6,2.3,72.0,8.6,1,1.22180,0.10517,1.32697,1.53970,2
Emile Smith-Rowe,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Bukayo Saka,90,0,1,1,0,0,0,0,0,0,0,0,17,19.4,29.5,12.0,6.1,1,0.03250,0.19001,0.22251,1.53970,6
Takehiro Tomiyasu,4,0,0,0,0,0,0,0,0,0,0,0,5,2.0,0.1,0.0,0.2,0,0.00000,0.00001,0.00001,0.06790,1
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,7,3,36,54.2,0.0,0.0,5.4,1,0.00000,0.00044,0.00044,1.53970,11
Gabriel,90,0,0,1,0,0,0,0,1,0,0,0,19,16.4,0.9,2.0,1.9,1,0.00000,0.00626,0.00626,1.53970,5
Gabriel Martinelli,78,0,0,1,0,0,0,0,1,0,0,0,9,11.6,43.8,19.0,7.4,1,0.06250,0.65578,0.71828,1.18500,2
Ainsley Maitland-Niles,5,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00000,0.00000,0.00000,0.11780,1
Fábio Vieira,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
William Saliba,90,0,0,1,0,0,0,0,0,0,0,0,26,13.8,0.3,0.0,1.4,1,0.00000,0.00342,0.00342,1.53970,6
Philippe Coutinho,9,0,0,0,1,0,0,0,0,0,0,0,4,0.0,1.8,2.0,0.3,0,0.02020,0.00115,0.02135,0.40210,1
Danny Ings,58,0,0,0,1,0,0,0,0,0,0,0,-5,12.0,1.6,26.0,4.0,0,0.41060,0.00233,0.41293,2.00570,1
Emiliano Martinez,90,0,0,0,1,0,0,0,1,0,2,0,12,20.6,0.0,0.0,2.1,1,0.00000,0.00025,0.00025,2.38410,1
Lucas Digne,9,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,0.00000,0.00001,0.00001,0.05230,1
Morgan Sanson,9,0,0,0,1,0,0,0,0,0,0,0,3,4.2,0.2,0.0,0.4,0,0.00000,0.00074,0.00074,0.40210,1
Tyrone Mings,90,0,0,0,1,0,0,0,0,0,0,0,13,19.4,0.4,0.0,2.0,1,0.00000,0.00293,0.00293,2.38410,2
Ollie Watkins,31,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,1,0.00000,0.00006,0.00006,0.37840,1
Emiliano Buendía,80,1,0,1,0,0,0,0,0,0,0,3,30,42.8,0.6,17.0,6.0,1,0.30240,0.00410,0.30650,1.98200,11
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,0,0,0,0,17,32.4,0.3,0.0,3.3,1,0.00000,0.00236,0.00236,2.38410,2
Leon Bailey,90,1,1,0,1,0,0,0,0,0,0,2,27,45.0,0.8,33.0,7.9,1,0.27590,0.00361,0.27951,2.38410,12
Douglas Luiz,90,0,0,0,1,0,0,0,0,0,0,0,11,21.4,24.8,5.0,5.1,1,0.14920,0.21786,0.36706,2.38410,2
Jacob Ramsey,80,0,0,1,0,0,0,0,0,0,0,0,11,10.2,21.8,0.0,3.2,1,0.00000,0.07320,0.07320,1.98200,3
Carney Chukwuemeka,62,0,0,1,0,0,0,0,0,0,0,0,10,6.4,7.2,7.0,2.1,1,0.02740,0.02930,0.05670,0.46550,3
Boubacar Kamara,90,0,1,0,1,0,0,0,1,0,0,0,22,39.8,13.3,0.0,5.3,1,0.00000,0.02073,0.02073,2.38410,4
Kieffer Moore,90,0,0,0,2,0,0,0,0,0,0,0,5,1.2,0.4,17.0,1.9,1,0.27980,0.00123,0.28103,1.46910,2
