Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,8,0,25,57.6,0.0,0.0,5.8,1,0.00000,0.00402,0.00402,2.97750,3
Granit Xhaka,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46.0,7.6,1,0.16120,0.12735,0.28855,1.55190,2
Martin Odegaard,73,0,0,0,2,0,0,0,0,0,0,0,9,7.0,46.8,14.0,6.8,1,0.35250,0.34030,0.69280,1.24830,2
Ben White,79,0,0,0,3,0,0,0,0,0,0,0,8,8.4,6.4,0.0,1.5,1,0.00000,0.10057,0.10057,1.43910,1
Eddie Nketiah,16,0,0,0,1,0,0,0,0,0,0,0,5,2.0,0.0,2.0,0.4,0,0.00000,0.00001,0.00001,0.30360,1
Emile Smith-Rowe,16,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.8,1.0,0.0,0,0.05350,0.01123,0.06473,0.30360,1
Bukayo Saka,90,1,0,0,3,0,0,0,1,0,0,1,20,34.2,18.5,52.0,10.5,1,0.39930,0.06968,0.46898,1.55190,7
Takehiro Tomiyasu,10,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.8,0.0,0.5,0,0.00000,0.00773,0.00773,0.11280,1
Aaron Ramsdale,90,0,0,0,3,0,0,0,0,0,3,0,14,25.2,0.0,0.0,2.5,1,0.00000,0.00163,0.00163,1.55190,2
Gabriel,90,0,0,0,3,0,0,0,0,0,0,0,13,14.0,1.0,10.0,2.5,1,0.02210,0.03377,0.05587,1.55190,1
Albert Sambi Lokonga,73,0,0,0,2,0,0,0,0,0,0,0,15,7.4,12.4,0.0,2.0,1,0.00000,0.01961,0.01961,1.24830,2
Gabriel Martinelli,90,0,0,0,3,0,0,0,0,0,0,0,8,11.4,33.1,53.0,9.8,1,0.09680,0.06551,0.16231,1.55190,2
Ainsley Maitland-Niles,17,0,0,0,0,0,0,0,0,0,0,0,4,2.6,0.5,2.0,0.5,0,0.00000,0.00210,0.00210,0.00000,1
Fábio Vieira,16,0,0,0,1,0,0,0,0,0,0,0,4,4.8,1.2,10.0,1.6,0,0.09180,0.00477,0.09657,0.30360,1
William Saliba,90,0,0,0,3,0,0,0,1,0,0,0,11,10.4,0.9,4.0,1.5,1,0.07840,0.00551,0.08391,1.55190,0
Gabriel Jesus,90,0,0,0,3,0,0,0,1,0,0,0,5,11.0,54.7,22.0,8.8,1,0.06060,0.35324,0.41384,1.55190,1
Philippe Coutinho,25,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.00000,0.00064,0.00064,0.90330,1
Emiliano Martinez,90,0,0,0,1,0,0,0,0,0,3,0,16,27.6,0.0,0.0,2.8,1,0.00000,0.00455,0.00455,2.10380,3
Lucas Digne,90,0,0,0,1,0,0,0,1,0,0,0,6,15.6,1.7,0.0,1.7,1,0.00000,0.01073,0.01073,2.10380,1
John McGinn,64,0,0,0,1,0,0,0,0,0,0,0,6,6.6,0.2,0.0,0.7,1,0.00000,0.00032,0.00032,1.20060,2
Tyrone Mings,90,0,0,0,1,0,0,0,0,0,0,0,10,11.6,0.3,2.0,1.4,1,0.00000,0.02372,0.02372,2.10380,2
Ollie Watkins,90,0,0,0,1,0,0,0,0,0,0,0,1,3.4,0.9,24.0,2.8,1,0.17830,0.00939,0.18769,2.10380,2
Emiliano Buendía,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00000,0.00070,0.00070,0.00000,1
Matthew Cash,26,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1,0.00000,0.00000,0.00000,0.43340,0
Ezri Konsa Ngoyo,90,0,0,0,1,0,0,0,0,0,0,0,5,4.4,0.1,0.0,0.5,1,0.00000,0.00014,0.00014,2.10380,2
Leon Bailey,90,1,0,0,1,0,0,0,0,0,0,1,22,30.6,0.9,18.0,5.0,1,0.16540,0.00513,0.17053,2.10380,8
Douglas Luiz,90,0,0,0,1,0,0,0,0,0,0,0,11,7.8,15.2,0.0,2.3,1,0.00000,0.13314,0.13314,2.10380,2
Jacob Ramsey,90,0,1,0,1,0,0,0,0,0,0,0,15,23.8,11.8,12.0,4.8,1,0.00000,0.06820,0.06820,2.10380,5
Boubacar Kamara,90,0,0,0,1,0,0,0,0,0,0,0,9,7.4,0.8,0.0,0.8,1,0.00000,0.00337,0.00337,2.10380,2
Adam Smith,90,0,0,0,2,0,0,0,0,0,0,0,12,11.6,2.1,0.0,1.4,1,0.00000,0.00436,0.00436,1.90170,1
Ryan Fredericks,45,0,0,0,0,0,0,0,0,0,0,0,3,4.8,1.2,0.0,0.6,0,0.00000,0.01859,0.01859,0.68140,1
Kieffer Moore,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0.00000,0.00006,0.00006,0.52490,1
Jefferson Lerma,90,0,0,0,2,0,0,0,0,0,0,0,13,10.4,7.5,2.0,2.0,1,0.00000,0.02792,0.02792,1.90170,2
Jack Stacey,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Dominic Solanke,90,1,1,0,2,0,0,0,0,0,0,3,42,51.2,13.7,23.0,8.8,1,0.06500,0.12564,0.19064,1.90170,12
Lewis Cook,90,0,1,0,2,0,0,0,0,0,0,1,28,38.4,22.8,8.0,6.9,1,0.01630,0.01333,0.02963,1.90170,6
Ryan Christie,84,0,0,0,2,0,0,0,0,0,0,0,3,2.2,4.5,22.0,2.9,1,0.20930,0.02242,0.23172,1.37680,2
Philip Billing,89,1,0,0,2,0,0,0,0,0,0,0,27,37.0,19.1,11.0,6.7,1,0.01790,0.06890,0.08680,1.37680,7
Chris Mepham,90,0,0,0,2,0,0,0,0,0,0,0,14,31.0,0.3,0.0,3.1,1,0.00000,0.00116,0.00116,1.90170,1
Lloyd Kelly,90,0,1,0,2,0,0,0,0,0,0,0,18,23.8,10.9,2.0,3.7,1,0.00000,0.10409,0.10409,1.90170,4
Jaidon Anthony,5,1,0,0,0,0,0,0,0,0,0,1,28,38.2,10.3,17.0,6.6,0,0.31510,0.03258,0.34768,0.52490,7
Jordan Zemura,45,0,0,0,2,0,0,0,0,0,0,0,5,5.2,1.8,2.0,0.9,1,0.00000,0.03475,0.03475,1.22030,0
Pontus Jansson,90,0,0,0,2,0,0,0,0,0,0,0,12,22.6,0.0,0.0,2.3,1,0.00000,0.00068,0.00068,1.91620,1
Ivan Toney,90,3,0,0,2,0,0,0,0,0,0,3,74,102.0,1.7,55.0,15.9,1,1.13220,0.01178,1.14398,1.91620,17
David Raya,90,0,0,0,2,0,0,0,0,0,4,0,17,32.4,10.0,0.0,4.2,1,0.00000,0.01211,0.01211,1.91620,2
Josh Dasilva,31,0,0,0,1,0,0,0,0,0,0,0,5,3.4,0.8,4.0,0.8,0,0.00000,0.00607,0.00607,1.43080,1
Rico Henry,90,0,0,0,2,0,0,0,0,0,0,0,8,11.2,0.8,1.0,1.3,1,0.01560,0.00169,0.01729,1.91620,1
Vitaly Janelt,66,0,0,0,1,0,0,0,0,0,0,0,17,13.8,0.7,0.0,1.5,1,0.00000,0.00365,0.00365,0.48540,2
Mathias Jensen,82,0,0,0,2,0,0,0,0,0,0,0,9,7.2,14.8,4.0,2.6,1,0.08710,0.01083,0.09793,1.73180,2
Yoane Wissa,7,1,0,0,0,0,0,0,0,0,0,0,21,32.0,0.3,24.0,5.6,0,0.73370,0.01863,0.75233,0.18440,6
Frank Onyeka,31,0,0,0,1,0,0,0,0,0,0,0,5,6.0,0.0,0.0,0.6,0,0.00000,0.00001,0.00001,1.43080,1
