player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Average_Bonus,Points_Standard_Deviation
Pablo Fornals,79,0.8777777777777778,0,0,0,0,0,0,2,2,0,NA
Pascal Groß,90,1,1,0,0,0,0,1,8,8,1,NA
Pascal Struijk,90,1,0,0,0,0,0,0,1,1,0,NA
Phil Foden,59,0.6555555555555556,0,0,0,0,0,0,1,1,0,NA
Philip Billing,75,0.8333333333333334,0,0,0,1,0,0,1,1,0,NA
Philippe Coutinho,45,0.5,0,0,0,1,0,0,0,0,0,NA
Pierre-Emerick Aubameyang,62,0.6888888888888889,0,0,0,0,0,0,2,2,0,NA
Pierre-Emile Højbjerg,90,1,0,0,1,0,0,0,3,3,0,NA
Raheem Sterling,4,0.044444444444444446,0,0,0,0,0,0,1,1,0,NA
Rayan Ait Nouri,31,0.34444444444444444,0,0,0,0,0,0,1,1,0,NA
Remo Freuler,90,1,0,0,1,1,0,0,2,2,0,NA
Renan Lodi,83,0.9222222222222223,0,0,1,0,0,1,7,7,1,NA
Rico Henry,90,1,0,0,0,0,0,0,2,2,0,NA
Rico Lewis,45,0.5,0,0,0,0,0,0,1,1,0,NA
Riyad Mahrez,30,0.3333333333333333,1,0,0,0,0,0,6,6,0,NA
Robert Sánchez,90,1,0,0,0,0,0,0,3,3,0,NA
Robin Koch,90,1,0,0,0,0,0,0,1,1,0,NA
Rodri,85,0.9444444444444444,0,0,1,0,0,0,3,3,0,NA
Rodrigo,90,1,1,0,0,1,0,0,6,6,0,NA
Romain Perraud,63,0.7,0,0,0,1,0,0,1,1,0,NA
Romeo Lavia,63,0.7,0,0,0,0,0,0,2,2,0,NA
Rúben Neves,90,1,0,0,0,0,0,0,2,2,0,NA
Ryan Christie,75,0.8333333333333334,0,0,0,0,0,0,2,2,0,NA
Ryan Sessegnon,13,0.14444444444444443,0,0,0,0,0,0,1,1,0,NA
Ryan Yates,90,1,0,0,1,0,0,0,3,3,0,NA
Said Benrahma,10,0.1111111111111111,0,0,0,0,0,0,1,1,0,NA
Sam Greenwood,12,0.13333333333333333,0,0,0,0,0,0,1,1,0,NA
Sam Surridge,19,0.2111111111111111,0,0,0,0,0,0,1,1,0,NA
Saman Ghoddos,3,0.03333333333333333,0,0,0,0,0,0,1,1,0,NA
Samuel Edozie,26,0.28888888888888886,0,0,0,0,0,0,1,1,0,NA
Seamus Coleman,27,0.3,0,0,0,0,0,0,1,1,0,NA
Sean Longstaff,90,1,0,0,1,0,0,0,3,3,0,NA
Sékou Mara,63,0.7,0,0,0,0,0,0,2,2,0,NA
Serge Aurier,90,1,0,0,1,0,0,2,8,8,2,NA
Sergi Canos,2,0.022222222222222223,0,0,0,0,0,0,1,1,0,NA
Siriki Dembélé,14,0.15555555555555556,0,0,0,0,0,0,1,1,0,NA
Solly March,78,0.8666666666666667,1,0,1,0,0,3,11,11,3,NA
Son Heung-Min,90,1,1,0,1,0,0,0,8,8,0,NA
Stuart Armstrong,5,0.05555555555555555,0,0,0,1,0,0,0,0,0,NA
Sven Botman,90,1,0,0,1,0,0,0,6,6,0,NA
Taiwo Awoniyi,70,0.7777777777777778,1,0,1,0,0,3,9,9,3,NA
Takehiro Tomiyasu,14,0.15555555555555556,0,0,0,0,0,0,1,1,0,NA
Tariq Lamptey,19,0.2111111111111111,0,0,0,0,0,0,1,1,0,NA
Thiago Alcántara,90,1,0,0,0,1,0,0,1,1,0,NA
Thiago Silva,180,2,0,0,0,0,0,0,3,3,0,NA
Thilo Kehrer,90,1,0,0,0,0,0,0,1,1,0,NA
Thomas Partey,90,1,0,0,1,0,0,0,3,3,0,NA
Tim Ream,180,2,0,0,1,0,0,3,11,11,3,NA
Timothy Castagne,90,1,0,0,0,1,0,0,1,1,0,NA
Tom Cairney,53,0.5888888888888889,0,0,0,1,0,0,1,1,0,NA
Tom Davies,57,0.6333333333333333,0,0,0,0,0,0,1,1,0,NA
Tomas Soucek,90,1,0,0,0,0,0,0,2,2,0,NA
Tosin Adarabioyo,180,2,0,0,1,2,0,1,7,7,1,NA
