Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,1,0,0,0,0,0,0,6,3,40,47.0,0.0,0.0,4.7,1,0.00000,0.00044,0.00044,1.15610,11
Ainsley Maitland-Niles,87,0,0,1,0,0,0,0,1,0,0,0,8,6.2,2.8,0.0,0.9,1,0.00000,0.03129,0.03129,0.97500,2
Danny Ings,68,0,0,0,2,0,0,0,0,0,0,0,5,11.4,11.1,89.0,11.2,1,0.51120,0.02499,0.53619,2.16910,2
Emiliano Martinez,90,0,0,0,3,0,0,0,0,0,5,0,20,32.2,0.0,0.0,3.2,1,0.00000,0.00163,0.00163,2.16910,2
John McGinn,90,0,0,0,3,0,0,0,0,0,0,0,14,17.2,17.1,7.0,4.1,1,0.01230,0.03508,0.04738,2.16910,2
Tyrone Mings,90,0,0,0,3,1,0,0,1,0,0,0,2,11.8,0.3,2.0,1.4,1,0.00000,0.00686,0.00686,2.16910,-2
Ollie Watkins,90,0,0,0,3,0,0,0,0,0,0,0,5,8.0,13.5,64.0,8.6,1,0.53520,0.01256,0.54776,2.16910,2
Emiliano Buendía,32,0,0,0,2,0,0,0,0,0,0,0,2,1.8,10.4,0.0,1.2,0,0.00000,0.00675,0.00675,0.84430,1
Matthew Cash,45,0,0,0,2,0,0,0,0,0,0,0,-1,0.8,0.6,0.0,0.1,0,0.00000,0.00209,0.00209,1.15840,0
Ezri Konsa Ngoyo,90,0,0,0,3,0,0,0,0,0,0,0,14,13.4,41.9,2.0,5.7,1,0.00000,0.30623,0.30623,2.16910,1
Leon Bailey,57,0,0,0,1,0,0,0,1,0,0,0,-4,2.0,14.8,19.0,3.6,1,0.10100,0.03882,0.13982,1.32480,0
Douglas Luiz,61,0,0,0,3,0,0,0,0,1,0,0,-2,0.0,5.0,0.0,0.3,1,0.00000,0.00334,0.00334,3.01340,-1
Jacob Ramsey,80,0,0,0,2,0,0,0,0,0,0,0,5,13.4,1.7,0.0,1.5,1,0.00000,0.00762,0.00762,2.16910,2
Carney Chukwuemeka,28,0,0,0,0,0,0,0,0,0,0,0,3,5.6,11.9,23.0,4.1,0,0.08730,0.00881,0.09611,0.29270,1
Cameron Archer,9,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.00000,0.00000,0.00000,0.00000,1
Adam Smith,90,0,0,0,1,0,0,0,0,0,0,0,17,19.0,21.3,0.0,4.0,1,0.00000,0.16839,0.16839,1.03300,2
Junior Stanislas,28,0,0,0,0,0,0,0,0,0,0,0,5,10.0,22.6,6.0,3.9,0,0.00000,0.18273,0.18273,0.52130,1
Ryan Fredericks,82,0,0,0,1,0,0,0,0,0,0,0,11,12.4,18.3,2.0,3.3,1,0.00000,0.25428,0.25428,0.88660,2
Kieffer Moore,7,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,4.0,0.6,0,0.00000,0.00000,0.00000,0.14640,1
Jefferson Lerma,90,0,0,0,1,0,0,0,0,0,0,0,7,7.8,6.2,5.0,1.9,1,0.03230,0.05038,0.08268,1.03300,2
Dominic Solanke,90,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,12.5,22.0,3.0,1,0.41050,0.16323,0.57373,1.03300,2
Lewis Cook,90,0,0,0,1,0,0,0,0,0,0,0,15,15.4,69.2,5.0,9.0,1,0.07880,0.57007,0.64887,1.03300,2
Ryan Christie,61,0,0,0,1,0,0,0,0,0,0,0,8,8.8,29.3,38.0,7.6,1,0.10040,0.03696,0.13736,0.51170,2
Philip Billing,82,0,0,0,1,0,0,0,0,0,0,0,5,15.6,5.4,31.0,5.2,1,0.07630,0.03415,0.11045,0.88660,2
Chris Mepham,90,0,0,0,1,0,0,0,1,0,0,0,13,16.4,11.4,0.0,2.8,1,0.00000,0.02603,0.02603,1.03300,1
Siriki Dembélé,7,0,0,0,0,0,0,0,0,0,0,0,3,4.0,0.5,0.0,0.5,0,0.00000,0.00174,0.00174,0.14640,1
Ivan Toney,90,0,0,1,0,0,0,0,0,0,0,0,-1,7.0,2.7,84.0,9.4,1,0.81020,0.04521,0.85541,0.86410,2
David Raya,90,0,0,1,0,0,0,0,0,0,5,3,33,31.6,0.0,0.0,3.2,1,0.00000,0.00389,0.00389,0.86410,10
Josh Dasilva,17,0,0,0,0,0,0,0,0,0,0,0,4,6.4,0.0,0.0,0.6,0,0.00000,0.00002,0.00002,0.43610,1
Rico Henry,90,0,0,1,0,0,0,0,0,0,0,0,17,4.6,2.3,8.0,1.5,1,0.09840,0.02879,0.12719,0.86410,6
