Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,3,0,15,25.8,0.0,0.0,2.6,1,0.00000,0.00184,0.00184,1.79750,2
Granit Xhaka,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,1,0.00000,0.11471,0.11471,0.25790,6
Thomas Partey,90,0,0,1,0,0,0,0,0,0,0,0,13,13.2,3.8,0.0,1.7,1,0.00000,0.02286,0.02286,0.28090,3
Martin Odegaard,73,2,0,1,0,0,0,0,0,0,0,3,47,67.8,10.0,42.0,12.0,1,0.63590,0.05122,0.68712,0.11530,16
Kieran Tierney,2,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0.00000,0.00000,0.00000,0.02300,1
Ben White,74,0,0,1,0,0,0,0,0,0,0,1,29,11.0,4.3,2.0,1.7,1,0.00000,0.09265,0.09265,0.11530,7
Eddie Nketiah,16,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,10.9,17.0,3.3,0,0.07950,0.01318,0.09268,0.16560,1
Emile Smith-Rowe,16,0,0,0,0,0,0,0,0,0,0,0,6,7.4,10.7,17.0,3.5,0,0.03960,0.03041,0.07001,0.16560,1
Bukayo Saka,87,0,0,1,0,0,0,0,0,0,0,0,12,12.0,29.9,8.0,5.0,1,0.02390,0.13348,0.15738,0.25790,3
Takehiro Tomiyasu,15,0,0,0,0,0,0,0,0,0,0,0,5,3.8,0.4,0.0,0.4,0,0.00000,0.00255,0.00255,0.16560,1
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,1,0,20,7.6,0.0,0.0,0.8,1,0.00000,0.00094,0.00094,0.28090,6
Gabriel,90,0,0,1,0,0,0,0,0,0,0,1,29,19.8,1.5,4.0,2.5,1,0.10130,0.00484,0.10614,0.28090,7
Albert Sambi Lokonga,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,0,0.00000,0.00042,0.00042,0.02300,1
Gabriel Martinelli,74,0,1,1,0,0,0,0,0,0,0,0,11,2.0,6.3,30.0,3.8,1,0.35930,0.02682,0.38612,0.11530,6
William Saliba,90,1,0,1,0,0,0,0,0,0,0,2,39,50.4,0.8,17.0,6.8,1,0.09930,0.00496,0.10426,0.28090,14
Gabriel Jesus,90,0,1,1,0,0,0,0,1,0,0,0,15,25.6,23.1,54.0,10.3,1,0.06290,0.02738,0.09028,0.28090,4
Philippe Coutinho,17,0,0,0,0,0,0,0,0,0,0,0,3,6.6,0.9,38.0,4.6,0,0.11930,0.00490,0.12420,0.32330,1
Danny Ings,24,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.0,17.0,1.8,0,0.05560,0.00001,0.05561,0.72470,1
Emiliano Martinez,90,0,0,0,3,0,1,0,0,0,6,2,36,71.8,0.0,0.0,7.2,1,0.00000,0.00073,0.00073,2.68780,10
Lucas Digne,90,0,0,0,3,0,0,0,0,0,0,0,16,17.8,34.3,18.0,7.0,1,0.08890,0.17322,0.26212,2.68780,1
John McGinn,72,0,0,0,3,0,0,0,1,0,0,0,6,2.6,3.8,0.0,0.6,1,0.00000,0.00493,0.00493,2.36450,1
Tyrone Mings,90,0,0,0,3,0,0,0,0,0,0,0,13,13.8,0.4,0.0,1.4,1,0.00000,0.00542,0.00542,2.68780,1
Ollie Watkins,90,1,0,0,3,0,0,0,0,0,0,0,27,34.8,4.7,17.0,5.7,1,0.25890,0.05270,0.31160,2.68780,6
Emiliano Buendía,72,0,0,0,3,0,0,0,0,0,0,0,4,9.0,1.8,15.0,2.6,1,0.20500,0.02875,0.23375,2.36450,2
Matthew Cash,90,0,0,0,3,0,0,0,0,0,0,0,12,15.6,29.1,1.0,4.6,1,0.01440,0.10543,0.11983,2.68780,1
Ezri Konsa Ngoyo,90,0,0,0,3,0,0,0,0,0,0,0,13,19.2,0.8,2.0,2.2,1,0.06780,0.00268,0.07048,2.68780,1
Leon Bailey,65,0,1,0,2,0,0,0,0,0,0,0,15,17.4,22.1,2.0,4.2,1,0.08680,0.03143,0.11823,1.96310,5
Douglas Luiz,17,0,0,0,0,0,0,0,0,0,0,0,6,8.6,25.7,0.0,3.4,0,0.00000,0.05968,0.05968,0.32330,1
Jacob Ramsey,90,0,0,0,3,0,0,0,0,0,0,0,14,7.6,12.6,0.0,2.0,1,0.00000,0.01786,0.01786,2.68780,2
Boubacar Kamara,90,0,0,0,3,0,0,0,0,0,0,0,9,17.8,10.8,0.0,2.9,1,0.00000,0.00505,0.00505,2.68780,2
