Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Granit Xhaka,90,1,1,0,2,0,0,0,0,0,0,2,35,54.8,25.5,28.0,10.8,1,0.38380,0.10245,0.48625,0.46000,12
Thomas Partey,90,0,0,0,2,0,0,0,0,0,0,0,9,5.4,4.8,39.0,4.9,1,0.38520,0.01520,0.40040,0.46000,2
Martin Odegaard,90,0,0,0,2,0,0,0,0,0,0,0,19,7.6,15.3,12.0,3.5,1,0.02930,0.06895,0.09825,0.46000,2
Kieran Tierney,13,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.7,0.0,0.1,0,0.00000,0.00176,0.00176,0.15720,1
Ben White,74,0,0,0,2,0,0,0,0,0,0,0,8,9.8,3.3,0.0,1.3,1,0.00000,0.01567,0.01567,0.30280,1
Eddie Nketiah,6,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.5,17.0,2.0,0,0.03880,0.00180,0.04060,0.12940,1
Emile Smith-Rowe,6,0,0,0,0,0,0,0,0,0,0,0,6,5.0,14.3,0.0,1.9,0,0.00000,0.12367,0.12367,0.12940,1
Bukayo Saka,83,0,0,0,2,0,0,0,0,0,0,0,18,13.8,43.9,23.0,8.1,1,0.03770,0.28500,0.32270,0.33060,2
Takehiro Tomiyasu,15,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.3,0.0,0.0,0,0.00000,0.00111,0.00111,0.15720,0
Aaron Ramsdale,90,0,0,0,2,0,0,0,0,0,1,0,10,11.6,0.0,0.0,1.2,1,0.00000,0.00337,0.00337,0.46000,1
Gabriel,90,0,0,0,2,0,0,0,0,0,0,0,12,13.2,1.8,6.0,2.1,1,0.04890,0.01533,0.06423,0.46000,1
Gabriel Martinelli,90,1,0,0,2,0,0,0,0,0,0,1,30,42.4,51.8,15.0,10.9,1,0.05430,0.31423,0.36853,0.46000,8
William Saliba,90,0,0,0,2,1,0,0,0,0,0,0,9,7.4,0.7,0.0,0.8,1,0.00000,0.00516,0.00516,0.46000,-1
Gabriel Jesus,83,2,2,0,2,0,0,0,0,0,0,3,65,98.6,33.7,105.0,23.7,1,1.91280,0.05486,1.96766,0.33060,19
Philippe Coutinho,59,0,0,0,0,0,0,0,1,0,0,0,6,1.4,3.5,2.0,0.7,1,0.00000,0.01167,0.01167,0.72360,0
Danny Ings,77,1,0,1,0,0,0,0,1,0,0,1,23,31.8,10.0,47.0,8.9,1,0.17680,0.14719,0.32399,0.72360,6
Emiliano Martinez,90,0,0,0,1,0,0,0,0,0,4,0,16,34.6,0.0,0.0,3.5,1,0.00000,0.00249,0.00249,1.58360,3
Calum Chambers,1,0,0,0,0,0,0,0,0,0,0,0,4,10.0,0.0,0.0,1.0,0,0.00000,0.00000,0.00000,0.25140,1
Lucas Digne,90,0,0,0,1,1,0,0,1,0,0,0,-1,6.8,15.5,6.0,2.8,1,0.03630,0.05767,0.09397,1.58360,-1
