Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Cédric Soares,27,0,0,0,0,0,0,0,0,0,0,0,2,2.4,1.6,0.0,0.4,0,0.00000,0.00979,0.00979,0.04350,1
Bernd Leno,90,0,0,1,0,0,0,0,0,0,4,3,35,39.6,0.0,0.0,4.0,1,0.00000,0.00164,0.00164,0.93740,10
Granit Xhaka,74,0,0,1,0,0,0,0,0,0,0,0,11,2.8,26.2,16.0,4.5,1,0.03820,0.18761,0.22581,0.38790,3
Thomas Partey,90,1,0,1,0,0,0,0,0,0,0,1,31,45.8,21.6,34.0,10.1,1,0.16160,0.23350,0.39510,0.43140,9
Martin Odegaard,90,1,0,1,0,0,0,0,0,0,0,2,33,49.4,66.3,61.0,17.7,1,0.17370,0.47769,0.65139,0.43140,10
Kieran Tierney,14,0,0,0,0,0,0,0,0,0,0,0,2,3.0,1.1,0.0,0.4,0,0.00000,0.01122,0.01122,0.04350,1
Ben White,90,0,0,1,0,0,0,0,0,0,0,0,27,16.6,5.4,4.0,2.6,1,0.10730,0.04514,0.15244,0.43140,6
Eddie Nketiah,15,0,0,0,0,0,0,0,0,0,0,0,4,2.2,10.9,6.0,1.9,0,0.00000,0.02584,0.02584,0.04350,1
Bukayo Saka,26,0,1,0,0,0,0,0,0,0,0,0,15,21.6,40.8,10.0,7.2,1,0.15640,0.12224,0.27864,0.04310,4
Takehiro Tomiyasu,62,0,0,1,0,0,0,0,0,0,0,0,25,8.0,16.3,18.0,4.2,1,0.07850,0.03948,0.11798,0.38790,6
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,2,0,24,11.6,0.0,0.0,1.2,1,0.00000,0.00007,0.00007,0.43140,6
Gabriel,90,0,0,1,0,0,0,0,0,0,0,0,25,11.8,2.3,2.0,1.6,1,0.00000,0.01574,0.01574,0.43140,6
Gabriel Martinelli,62,1,0,1,0,0,0,0,0,0,0,0,24,37.4,13.9,43.0,9.4,1,0.26830,0.07656,0.34486,0.38790,8
Ainsley Maitland-Niles,45,0,0,0,0,0,0,0,0,0,0,0,14,8.4,1.8,0.0,1.0,0,0.00000,0.01769,0.01769,0.24340,1
Reiss Nelson,63,2,1,1,0,0,0,0,0,0,0,3,50,90.8,31.0,79.0,20.1,0,0.63060,0.15378,0.78438,0.38830,19
Fábio Vieira,27,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.1,22.0,2.3,0,0.04470,0.00383,0.04853,0.04350,1
William Saliba,75,0,0,1,0,0,0,0,0,0,0,1,31,14.0,11.5,0.0,2.6,1,0.00000,0.02076,0.02076,0.38790,7
Gabriel Jesus,90,0,2,1,0,0,0,0,0,0,0,1,31,51.6,45.5,107.0,20.4,1,0.66990,0.57569,1.24559,0.43140,9
Philippe Coutinho,29,0,0,0,1,0,0,0,0,0,0,0,4,2.6,1.0,0.0,0.4,0,0.00000,0.00513,0.00513,0.92280,1
Danny Ings,90,0,0,0,4,0,0,0,0,0,0,0,2,3.0,10.6,4.0,1.8,1,0.00000,0.01837,0.01837,3.44300,2
Emiliano Martinez,34,0,0,0,0,0,0,0,0,0,1,0,6,4.2,0.0,0.0,0.4,1,0.00000,0.00009,0.00009,0.55470,1
Lucas Digne,21,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.1,0.0,0.6,0,0.00000,0.00031,0.00031,0.85180,1
Robin Olsen,55,0,0,0,4,0,0,0,0,0,2,0,9,16.2,0.0,0.0,1.6,0,0.00000,0.00030,0.00030,2.88820,-1
John McGinn,21,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.5,0.0,0.1,0,0.00000,0.00166,0.00166,0.85180,1
Tyrone Mings,90,0,0,0,4,0,0,0,0,0,0,0,10,13.4,0.0,0.0,1.3,1,0.00000,0.00083,0.00083,3.44300,0
Ollie Watkins,90,0,0,0,4,0,0,0,1,0,0,0,4,4.0,11.8,6.0,2.2,1,0.00000,0.01649,0.01649,3.44300,1
Emiliano Buendía,60,0,0,0,3,0,0,0,0,0,0,0,5,5.2,5.2,58.0,6.8,1,0.36680,0.01028,0.37708,2.52020,2
Matthew Cash,68,0,0,0,4,0,0,0,0,0,0,0,8,10.4,4.8,0.0,1.5,1,0.00000,0.04710,0.04710,2.59120,0
Ezri Konsa Ngoyo,90,0,0,0,4,0,0,0,0,0,0,0,13,13.2,0.0,0.0,1.3,1,0.00000,0.00045,0.00045,3.44300,0
Leon Bailey,60,0,0,0,3,0,0,0,0,0,0,0,2,1.2,11.0,6.0,1.8,1,0.00000,0.35406,0.35406,2.52020,2
Douglas Luiz,90,0,0,0,4,0,0,0,0,0,0,0,13,10.0,2.8,0.0,1.3,1,0.00000,0.01452,0.01452,3.44300,2
Jacob Ramsey,29,0,0,0,1,0,0,0,0,0,0,0,3,3.0,0.3,0.0,0.3,0,0.00000,0.00305,0.00305,0.92280,1
Adam Smith,90,0,1,0,3,0,0,0,0,0,0,1,23,29.8,14.5,0.0,4.4,1,0.00000,0.24843,0.24843,2.09170,5
Ryan Fredericks,12,0,0,0,1,0,0,0,0,0,0,0,3,2.0,0.3,0.0,0.2,0,0.00000,0.00114,0.00114,0.68400,1
Kieffer Moore,90,2,0,0,3,0,0,0,0,0,0,3,58,89.2,1.4,44.0,13.5,1,0.44990,0.00394,0.45384,2.09170,13
Jefferson Lerma,90,0,0,0,3,0,0,0,0,0,0,0,6,14.2,11.0,3.0,2.8,1,0.01810,0.01834,0.03644,2.09170,2
Dominic Solanke,88,0,0,0,2,0,0,0,0,0,0,0,8,9.2,0.8,4.0,1.4,1,0.00000,0.03438,0.03438,1.72470,2
Lewis Cook,90,0,0,0,3,0,0,0,1,0,0,0,7,15.2,32.9,2.0,5.0,1,0.00000,0.09363,0.09363,2.09170,1
Philip Billing,62,0,0,0,1,0,0,0,0,0,0,0,5,6.8,1.7,2.0,1.1,1,0.00000,0.00494,0.00494,0.62130,2
Chris Mepham,90,0,0,0,3,0,0,0,0,0,0,0,15,30.4,0.0,17.0,4.7,1,0.02960,0.00036,0.02996,2.09170,1
Mark Travers,90,0,0,0,3,0,0,0,0,0,4,0,15,31.8,0.0,0.0,3.2,1,0.00000,0.00113,0.00113,2.09170,2
Jaidon Anthony,27,0,0,0,2,0,0,0,0,0,0,0,2,1.0,1.0,4.0,0.6,0,0.00000,0.00001,0.00001,1.47040,1
Jordan Zemura,90,0,0,0,3,0,0,0,0,0,0,0,7,12.0,11.3,2.0,2.5,1,0.00000,0.00833,0.00833,2.09170,1
Ivan Toney,90,0,0,0,1,0,0,0,1,0,0,0,-2,2.2,2.1,47.0,5.1,1,0.60990,0.01159,0.62149,0.60860,1
David Raya,90,0,0,0,1,0,0,0,0,0,3,0,15,29.0,0.0,0.0,2.9,1,0.00000,0.00156,0.00156,0.60860,3
Sergi Canos,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.3,2.0,0.3,0,0.00000,0.01922,0.01922,0.05710,1
Josh Dasilva,82,0,0,0,1,0,0,0,0,0,0,0,12,12.0,2.6,17.0,3.2,1,0.12270,0.01069,0.13339,0.55150,2
