Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,2,0,0,0,0,0,4,0,18,31.6,0.0,0.0,3.2,1,0.00000,0.00061,0.00061,1.05450,2
Granit Xhaka,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2.0,1.3,1,0.00000,0.02411,0.02411,1.85510,3
Rob Holding,8,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0.00000,0.00022,0.00022,0.13740,1
Thomas Partey,90,0,0,1,0,0,0,0,0,0,0,0,15,10.0,1.0,0.0,1.1,1,0.00000,0.00430,0.00430,1.85510,3
Martin Odegaard,72,0,1,1,0,0,0,0,0,0,0,0,25,28.8,23.1,44.0,9.6,1,0.16410,0.16523,0.32933,1.68540,6
Kieran Tierney,14,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,0,0.00000,0.00170,0.00170,0.16980,1
Ben White,75,0,0,1,0,0,0,0,0,0,0,0,21,25.8,1.6,0.0,2.7,1,0.00000,0.01402,0.01402,1.68540,6
Eddie Nketiah,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,7.0,0.5,0,0.07120,0.00109,0.07229,0.13740,1
Bukayo Saka,81,1,0,1,0,0,0,0,0,0,0,1,28,37.4,18.3,19.0,7.5,1,0.09240,0.08806,0.18046,1.71770,9
Takehiro Tomiyasu,90,0,0,1,0,0,0,0,0,0,0,0,26,12.4,1.3,0.0,1.4,1,0.00000,0.00759,0.00759,1.85510,6
Aaron Ramsdale,90,0,0,1,0,0,0,0,0,0,4,3,32,34.8,0.0,0.0,3.5,1,0.00000,0.00050,0.00050,1.85510,10
Gabriel,90,0,0,1,0,0,0,0,1,0,0,3,32,42.2,0.3,17.0,6.0,1,0.10070,0.00136,0.10206,1.85510,8
