Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Cédric Soares,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.1,0.0,0.1,0,0.00,0.00,0.00,0.00,1
Bernd Leno,90,0,0,1,0,0,0,0,0,0,1,0,28,16.2,0.0,0.0,1.6,1,0.00,0.00,0.00,0.67,6
Granit Xhaka,162,0,0,0,4,0,0,0,0,0,0,0,24,20.4,39.4,16.0,7.6,2,0.07,0.17,0.24,3.94,4
Thomas Partey,90,0,0,0,1,0,0,0,0,0,0,1,23,33.4,68.8,3.0,10.5,1,0.04,0.14,0.18,2.37,3
Martin Odegaard,180,0,0,0,4,0,0,0,0,0,0,0,22,24.4,57.6,33.0,11.5,2,0.22,0.29,0.52,4.08,4
Ben White,97,0,0,0,1,0,0,0,0,0,0,0,19,18.0,38.0,14.0,7.0,1,0.03,0.12,0.15,2.37,3
Eddie Nketiah,180,0,1,0,4,0,0,0,1,0,0,0,-3,7.2,21.2,45.0,6.9,2,0.53,0.09,0.63,4.08,6
Bukayo Saka,180,1,1,0,4,0,0,0,0,0,0,3,53,72.8,47.3,80.0,20.0,2,1.14,0.56,1.70,4.08,15
Takehiro Tomiyasu,82,0,0,0,3,0,0,0,1,0,0,0,0,3.6,7.8,6.0,1.7,1,0.14,0.01,0.14,1.71,0
Aaron Ramsdale,180,0,0,0,4,0,0,0,0,0,3,0,25,27.0,0.0,0.0,2.7,2,0.00,0.00,0.00,4.08,3
Gabriel,180,0,0,0,4,0,0,0,0,0,0,0,27,35.0,15.3,11.0,6.2,2,0.03,0.05,0.07,4.08,3
Albert Sambi Lokonga,34,0,0,0,1,0,0,0,1,0,0,0,1,6.2,0.0,0.0,0.6,0,0.00,0.00,0.00,0.70,0
Gabriel Martinelli,136,0,0,1,2,0,0,0,0,0,0,0,13,5.0,23.7,39.0,6.7,2,0.19,0.19,0.37,2.84,5
Ainsley Maitland-Niles,90,0,0,0,2,0,0,0,1,0,0,0,8,17.8,11.6,2.0,3.1,1,0.00,0.05,0.05,0.78,1
Fábio Vieira,16,0,0,0,0,0,0,0,0,0,0,0,5,1.6,1.9,2.0,0.5,0,0.00,0.01,0.01,0.14,2
William Saliba,180,0,0,0,4,0,0,0,0,0,0,0,27,28.0,3.6,0.0,3.2,2,0.00,0.03,0.03,4.08,3
Philippe Coutinho,14,0,0,0,0,0,0,0,0,0,0,0,8,8.6,7.1,11.0,2.7,0,0.02,0.02,0.04,0.42,1
Danny Ings,23,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,4.0,0.3,0,0.08,0.00,0.08,0.15,1
Emiliano Martinez,90,0,0,0,3,0,0,0,0,0,5,0,21,36.4,0.0,0.0,3.6,1,0.00,0.00,0.00,3.59,2
Calum Chambers,90,0,0,0,3,0,0,0,0,0,0,0,10,8.8,0.3,0.0,0.9,1,0.00,0.00,0.00,3.59,1
Lucas Digne,59,0,0,0,3,0,0,0,1,0,0,0,-1,0.0,1.0,0.0,0.1,1,0.00,0.01,0.01,2.94,-1
John McGinn,30,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.8,2.0,0.5,0,0.00,0.01,0.01,0.65,1
Ollie Watkins,90,1,0,0,3,0,0,0,0,0,0,1,31,41.6,33.7,19.0,9.4,1,0.08,0.04,0.11,3.59,7
Emiliano Buendía,59,0,0,0,3,0,0,0,0,0,0,0,3,1.6,0.9,0.0,0.3,1,0.00,0.01,0.01,2.94,1
Matthew Cash,14,0,0,0,0,0,0,0,0,0,0,0,3,2.6,0.7,0.0,0.3,0,0.00,0.00,0.00,0.42,1
Ezri Konsa Ngoyo,90,0,0,0,3,0,0,0,1,0,0,0,13,18.0,0.1,0.0,1.8,1,0.00,0.00,0.00,3.59,0
Leon Bailey,59,0,0,0,3,0,0,0,0,0,0,0,3,0.0,4.3,10.0,1.4,1,0.12,0.00,0.13,2.94,1
Douglas Luiz,90,0,1,0,3,0,0,0,0,0,0,0,20,22.8,12.1,0.0,3.5,1,0.00,0.03,0.03,3.59,5
Jacob Ramsey,75,0,0,0,3,0,0,0,0,0,0,0,1,1.4,0.4,0.0,0.2,1,0.00,0.01,0.01,3.18,2
Boubacar Kamara,90,0,0,0,3,0,0,0,0,0,0,0,14,13.6,1.0,4.0,1.9,1,0.00,0.19,0.19,3.59,2
Adam Smith,78,0,0,0,1,0,0,0,1,0,0,0,1,1.2,0.0,0.0,0.1,1,0.00,0.00,0.00,1.16,1
Ryan Fredericks,11,0,0,0,0,0,0,0,0,0,0,0,6,6.0,0.0,2.0,0.8,0,0.00,0.00,0.00,0.10,1
Jefferson Lerma,90,0,0,0,1,0,0,0,0,0,0,0,19,26.2,11.7,2.0,4.0,1,0.00,0.02,0.02,1.27,2
