Understat_Name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points
Bernd Leno,90,0,0,0,1,0,0,0,0,0,2,0,13,19.0,10.0,0.0,2.9,1,0.00000,0.00086,0.00086,1.42180,2
Granit Xhaka,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,1,0.00000,0.03714,0.03714,0.45140,2
Rob Holding,2,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.0,0.0,0.2,0,0.00000,0.00000,0.00000,0.00000,1
Martin Odegaard,80,0,0,0,1,0,0,0,1,0,0,0,12,13.0,37.8,47.0,9.8,1,0.45920,0.22410,0.68330,0.45140,1
Kieran Tierney,90,0,0,0,1,0,0,0,0,0,0,0,8,11.0,3.1,21.0,3.5,1,0.19980,0.03910,0.23890,0.45140,2
Ben White,64,0,0,1,0,0,0,0,0,0,0,2,29,5.4,13.5,2.0,2.1,1,0.00000,0.28366,0.28366,0.19790,8
Eddie Nketiah,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,5.0,0.3,0,0.04930,0.00086,0.05016,0.00000,1
Emile Smith-Rowe,9,0,0,0,0,0,0,0,0,0,0,0,4,3.4,10.9,0.0,1.4,0,0.00000,0.02674,0.02674,0.00000,1
Bukayo Saka,87,0,1,0,1,0,0,0,0,0,0,0,19,24.6,42.7,49.0,11.6,1,0.45240,0.34341,0.79581,0.45140,5
Takehiro Tomiyasu,26,0,0,0,1,0,0,0,0,0,0,0,9,8.4,10.8,4.0,2.3,0,0.00000,0.01807,0.01807,0.25350,1
Aaron Ramsdale,90,0,0,0,1,0,0,0,0,0,2,0,13,17.4,0.0,0.0,1.7,1,0.00000,0.00016,0.00016,0.45140,2
Gabriel,90,0,0,0,1,0,0,0,0,0,0,0,16,17.4,1.3,69.0,8.8,1,0.31380,0.00906,0.32286,0.45140,2
Albert Sambi Lokonga,90,0,0,0,1,0,0,0,0,0,0,0,15,10.8,6.2,0.0,1.7,1,0.00000,0.02741,0.02741,0.45140,2
Gabriel Martinelli,90,1,0,0,1,0,0,0,0,0,0,3,34,44.0,30.7,69.0,14.4,1,0.19640,0.39720,0.59360,0.45140,10
William Saliba,90,0,0,0,1,0,0,0,1,0,0,0,9,12.8,10.8,0.0,2.4,1,0.00000,0.03277,0.03277,0.45140,1
Gabriel Jesus,87,1,0,0,1,0,0,0,0,0,0,0,19,37.8,12.3,92.0,14.2,1,0.89630,0.08804,0.98434,0.45140,6
Philippe Coutinho,17,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.9,2.0,0.3,0,0.00000,0.00171,0.00171,0.16760,1
Danny Ings,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,0,0.00000,0.00197,0.00197,0.07720,1
Emiliano Martinez,90,0,0,0,2,0,0,0,0,0,6,0,18,34.4,0.0,0.0,3.4,1,0.00000,0.00069,0.00069,2.55500,3
Lucas Digne,90,0,0,0,2,0,0,0,0,0,0,0,9,17.2,5.6,0.0,2.3,1,0.00000,0.01906,0.01906,2.55500,1
John McGinn,72,0,0,0,1,0,0,0,1,0,0,0,3,0.6,0.8,0.0,0.1,1,0.00000,0.00899,0.00899,2.38740,1
Tyrone Mings,90,0,0,0,2,0,0,0,0,0,0,0,17,35.8,0.2,0.0,3.6,1,0.00000,0.00183,0.00183,2.55500,1
Ollie Watkins,90,0,0,0,2,0,0,0,0,0,0,0,6,7.4,2.4,0.0,1.0,1,0.00000,0.00637,0.00637,2.55500,2
Emiliano Buendía,72,0,0,0,1,0,0,0,0,0,0,0,3,6.8,2.8,23.0,3.3,1,0.19790,0.01092,0.20882,2.38740,2
Matthew Cash,90,0,0,0,2,0,0,0,0,0,0,0,9,12.6,16.4,4.0,3.3,1,0.00000,0.03570,0.03570,2.55500,1
Ezri Konsa Ngoyo,90,0,0,0,2,0,0,0,1,0,0,0,6,13.6,0.8,2.0,1.6,1,0.00000,0.00206,0.00206,2.55500,0
Leon Bailey,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,3.5,17.0,3.1,1,0.23840,0.02259,0.26099,2.55500,2
Douglas Luiz,17,1,0,0,1,0,0,0,0,0,0,1,21,33.6,0.2,7.0,4.1,0,0.01510,0.00086,0.01596,0.16760,7
Jacob Ramsey,90,0,0,0,2,0,0,0,1,0,0,0,10,20.0,23.6,0.0,4.4,1,0.00000,0.10789,0.10789,2.55500,1
Boubacar Kamara,82,0,0,0,2,0,0,0,0,0,0,0,8,18.6,1.3,0.0,2.0,1,0.00000,0.00857,0.00857,2.47780,2
Adam Smith,90,0,0,1,0,0,0,0,0,0,0,0,21,12.0,1.0,2.0,1.5,1,0.00000,0.08987,0.08987,1.50980,6
Ryan Fredericks,21,0,0,0,0,0,0,0,0,0,0,0,3,4.2,0.3,0.0,0.5,0,0.00000,0.00101,0.00101,0.88660,1
Kieffer Moore,13,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.3,0.0,0.1,0,0.00000,0.00024,0.00024,0.80980,1
Jefferson Lerma,90,0,0,1,0,0,0,0,0,0,0,0,13,10.6,4.8,3.0,1.8,1,0.02750,0.26902,0.29652,1.50980,3
Dominic Solanke,90,0,0,1,0,0,0,0,0,0,0,0,3,18.2,1.9,42.0,6.2,1,0.21860,0.00623,0.22483,1.50980,2
Lewis Cook,90,0,0,1,0,0,0,0,0,0,0,0,11,8.0,0.9,0.0,0.9,1,0.00000,0.00542,0.00542,1.50980,3
Ryan Christie,85,0,0,1,0,0,0,0,0,0,0,0,4,15.4,12.1,4.0,3.2,1,0.12420,0.03208,0.15628,1.11090,3
Philip Billing,76,0,0,1,0,0,0,0,0,0,0,0,6,5.0,15.3,4.0,2.4,1,0.00000,0.10856,0.10856,0.70010,3
Chris Mepham,90,0,0,1,0,0,0,0,1,0,0,3,29,20.2,0.1,0.0,2.0,1,0.00000,0.00063,0.00063,1.50980,8
Lloyd Kelly,90,0,0,1,0,0,0,0,0,0,0,0,26,22.6,0.4,0.0,2.3,1,0.00000,0.06334,0.06334,1.50980,6
Jaidon Anthony,4,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.1,0.0,0.2,0,0.00000,0.00055,0.00055,0.39890,1
