player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Jamal Lewis,7,0.07777777777777778,0,0,0,0,0,0,1,1,NA
Jamal Lowe,11,0.12222222222222222,0,0,0,0,0,0,2,1,0
James Garner,137,1.5222222222222221,0,0,0,1,0,0,5,0.8333333333333334,0.408248290463863
James Justin,1252,13.911111111111111,0,2,5,0,0,2,45,3.2142857142857144,2.5773740789526736
James Maddison,1098,12.2,7,4,4,5,0,6,77,5.923076923076923,4.786465962508917
James Milner,460,5.111111111111111,0,1,1,0,0,0,20,1.6666666666666667,1.2309149097933274
James Tarkowski,1530,17,0,0,4,3,0,4,45,2.6470588235294117,2.206274474951729
James Tomkins,102,1.1333333333333333,0,0,0,0,1,0,-2,-1,2.8284271247461903
James Ward-Prowse,1530,17,3,2,1,2,0,6,56,3.2941176470588234,2.391775122224938
Jamie Vardy,865,9.61111111111111,1,4,3,1,0,2,43,2.5294117647058822,2.452489731345055
Jan Bednarek,257,2.8555555555555556,0,0,0,0,0,0,4,0.8,0.44721359549995793
Jan Paul van Hecke,2,0.022222222222222223,0,0,0,0,0,0,1,1,NA
Japhet Tanganga,66,0.7333333333333333,0,0,0,0,0,0,1,1,NA
Jarrod Bowen,1521,16.9,2,2,3,1,0,3,53,3.1176470588235294,3.1401105263425135
Javier Manquillo,10,0.1111111111111111,0,0,0,0,0,0,1,1,NA
Jay Stansfield,85,0.9444444444444444,0,1,0,0,0,0,7,2.3333333333333335,2.309401076758503
Jean-Philippe Mateta,290,3.2222222222222223,1,0,1,2,0,0,15,1.25,1.2880570286640687
Jefferson Lerma,1530,17,2,0,4,3,0,2,45,2.6470588235294117,2.3701576021065622
Jeffrey Schlupp,1265,14.055555555555555,0,0,5,3,0,0,32,2,0.8944271909999159
Jeremy Sarmiento,58,0.6444444444444445,0,0,0,1,0,0,3,0.75,0.5
Jesse Lingard,858,9.533333333333333,0,1,5,1,0,0,30,2.142857142857143,1.4064216928154862
Joachim Andersen,1350,15,1,0,4,3,0,1,45,3,2.138089935299395
João Cancelo,1138,12.644444444444444,2,2,6,3,1,10,71,4.733333333333333,5.599319686567374
João Moutinho,1145,12.722222222222221,0,1,4,2,0,0,32,2.1333333333333333,1.0600988273786194
João Palhinha,1415,15.722222222222221,3,0,4,5,0,5,51,3.1875,2.5617376914898995
Joe Ayodele-Aribo,1052,11.688888888888888,2,0,1,2,0,3,40,2.3529411764705883,2.2622217085916954
Joe Gelhardt,187,2.077777777777778,0,1,0,1,0,0,15,1.1538461538461537,0.8987170342729172
Joe Rothwell,35,0.3888888888888889,0,0,0,0,0,0,3,1,0
Joe Willock,1259,13.988888888888889,2,2,8,0,0,6,62,3.6470588235294117,3.1213213642339888
Joe Worrall,893,9.922222222222222,0,0,2,4,0,2,21,1.6153846153846154,2.5012817227194253
Joel Matip,438,4.866666666666666,0,0,0,0,0,0,8,1.3333333333333333,0.5163977794943222
Joël Veltman,1036,11.511111111111111,0,1,4,1,0,5,44,3.142857142857143,2.931451277679128
Joel Ward,1133,12.588888888888889,0,0,4,4,0,3,36,2.5714285714285716,2.7376094488632767
Joelinton,1239,13.766666666666667,2,3,8,5,0,2,52,3.466666666666667,3.2041639575194445
John McGinn,1222,13.577777777777778,0,2,3,4,0,0,36,2.1176470588235294,1.3173056280328643
John Stones,910,10.11111111111111,0,2,3,1,0,3,36,3.272727272727273,3.0689056385268376
Jonjo Shelvey,34,0.37777777777777777,0,0,0,0,0,0,3,1,0
Jonny,1004,11.155555555555555,0,0,4,3,0,0,32,2.4615384615384617,2.3669736167866557
Jonny Evans,810,9,0,0,1,0,0,0,11,1.2222222222222223,1.986062547968831
Jordan Ayew,1064,11.822222222222223,1,1,3,1,0,2,40,2.5,2.250925735484551
Jordan Henderson,810,9,0,0,2,0,0,0,23,1.6428571428571428,0.744946343668492
Jordan Pickford,1440,16,0,1,3,3,0,6,58,3.625,3.0083217912982647
Jordan Zemura,945,10.5,0,1,4,1,0,1,33,2.5384615384615383,2.9612887007569473
