player_name,mins,90s,Goals,Assists,Clean_Sheets,Yellow_Cards,Red_Cards,Bonus_Points,Total_Points,Average_Points,Points_Standard_Deviation
Scott McKenna,1260,14,0,0,3,4,0,0,24,1.7142857142857142,2.30145677706606
Scott McTominay,635,7.055555555555555,0,0,2,5,0,0,14,1.1666666666666667,0.8348471099367218
Seamus Coleman,624,6.933333333333334,0,0,2,0,0,0,24,2.6666666666666665,1.9364916731037085
Sean Longstaff,1232,13.688888888888888,1,2,7,2,0,1,47,2.764705882352941,1.7510501051050011
Sékou Mara,220,2.4444444444444446,0,1,0,0,0,0,14,1.2727272727272727,0.9045340337332909
Serge Aurier,693,7.7,1,0,3,1,0,4,33,3.6666666666666665,3.8078865529319543
Sergi Canos,71,0.7888888888888889,0,0,0,0,0,0,4,1,0
Sergio Gómez,106,1.1777777777777778,0,1,0,0,0,0,7,1.4,0.8944271909999159
Shandon Baptiste,423,4.7,0,1,1,1,0,0,18,1.5,1.087114613009218
Shane Duffy,4,0.044444444444444446,0,0,0,0,0,0,4,1,0
Siriki Dembélé,64,0.7111111111111111,0,0,0,0,0,0,3,1,0
Solly March,1374,15.266666666666667,1,5,4,2,0,4,58,3.625,2.895398648430529
Son Heung-Min,1210,13.444444444444445,3,2,4,0,0,3,57,3.8,4.378518992927697
Stefan Bajcetic,35,0.3888888888888889,1,0,0,0,0,0,8,2.6666666666666665,2.886751345948129
Steve Cook,956,10.622222222222222,0,0,2,4,0,0,20,1.6666666666666667,2.188122205883115
Stuart Armstrong,750,8.333333333333334,1,0,0,2,0,2,27,1.6875,2.023816526598529
Sven Botman,1237,13.744444444444444,0,1,8,0,0,4,67,4.466666666666667,2.445598573141631
Taiwo Awoniyi,653,7.2555555555555555,3,0,3,0,0,6,41,2.7333333333333334,2.7894358535288784
Takehiro Tomiyasu,434,4.822222222222222,0,0,2,1,0,0,21,1.75,2.050498830661811
Tariq Lamptey,276,3.066666666666667,0,0,0,1,0,0,11,0.8461538461538461,0.3755338080994054
Theo Walcott,112,1.2444444444444445,0,0,0,1,0,0,3,1,1
Thiago Alcántara,801,8.9,0,0,1,1,0,0,18,1.8,0.4216370213557839
Thiago Silva,1253,13.922222222222222,0,2,3,1,0,6,46,3.2857142857142856,2.6726124191242437
Thilo Kehrer,1260,14,0,1,3,4,0,2,34,2.4285714285714284,2.9277002188455996
Thomas Cannon,23,0.25555555555555554,0,0,0,0,0,0,2,1,0
Thomas Partey,1122,12.466666666666667,2,0,7,2,0,4,45,3.4615384615384617,2.757274760078165
Tim Ream,1527,16.966666666666665,1,0,4,1,0,4,47,2.764705882352941,3.7001589790964706
Timothy Castagne,1371,15.233333333333333,1,2,7,0,0,7,67,4.1875,3.6188165653060302
Tom Cairney,375,4.166666666666667,0,1,0,0,0,0,21,1.2352941176470589,0.9701425001453319
Tom Davies,306,3.4,0,0,1,2,0,0,9,1.125,0.8345229603962802
Tomas Soucek,1392,15.466666666666667,1,1,3,1,0,3,46,2.7058823529411766,2.172691472642657
Tosin Adarabioyo,901,10.011111111111111,1,0,1,0,0,0,22,2,2.280350850198276
Toti,288,3.2,0,0,1,2,0,1,9,1.8,2.949576240750525
Trent Alexander-Arnold,1151,12.78888888888889,1,2,2,2,0,8,50,3.125,4.425306015783918
Trevoh Chalobah,722,8.022222222222222,0,0,3,1,0,0,24,2.6666666666666665,2.7838821814150108
Tyler Adams,1256,13.955555555555556,0,0,3,2,1,0,26,1.8571428571428572,1.027105182026191
Tyrell Malacia,746,8.28888888888889,0,0,4,3,0,5,34,3.090909090909091,3.300137738172316
Tyrese Francois,1,0.011111111111111112,0,0,0,0,0,0,1,1,NA
Tyrick Mitchell,1008,11.2,0,2,2,2,1,4,33,2.2,3.255764119219941
Tyrone Mings,1350,15,0,1,4,4,0,4,40,2.6666666666666665,3.352326839390103
Vicente Guaita,1440,16,0,0,4,1,0,6,58,3.625,3.138470965295043
Victor Lindelöf,350,3.888888888888889,0,0,0,0,0,0,6,1.2,0.8366600265340756
Virgil van Dijk,1440,16,2,0,4,1,0,4,58,3.625,3.4809002666934696
Vitalii Mykolenko,1463,16.255555555555556,0,1,4,2,0,2,46,2.7058823529411766,2.8888731774333944
Vitaly Janelt,1109,12.322222222222223,2,1,3,1,0,4,47,2.764705882352941,2.3592745644770208
Vladimir Coufal,863,9.588888888888889,0,1,1,3,0,0,20,1.8181818181818181,1.7786613965666325
Wayne Hennessey,90,1,0,0,0,0,0,0,2,2,NA
Wesley Fofana,360,4,0,0,0,1,0,0,4,1,1.4142135623730951
Wilfred Ndidi,711,7.9,0,0,0,2,0,0,16,1.3333333333333333,0.6513389472789296
Wilfried Gnonto,267,2.966666666666667,0,1,1,2,0,0,8,1.6,1.3416407864998738
Wilfried Zaha,1327,14.744444444444444,6,2,4,3,0,6,69,4.6,3.794733192202055
Will Hughes,92,1.0222222222222221,0,0,0,0,0,0,10,1,0
William Saliba,1425,15.833333333333334,2,1,7,4,0,12,77,4.8125,4.83347700935879
Willian,734,8.155555555555555,1,2,3,0,0,4,36,3.6,2.8751811537130436
Willy Boly,333,3.7,0,1,1,1,0,5,17,4.25,4.349329450233296
Wout Faes,990,11,0,0,6,1,0,1,36,3.272727272727273,3.4085454109021076
Yan Valery,45,0.5,0,0,0,0,0,0,0,0,NA
Yerry Mina,144,1.6,1,0,0,1,0,3,12,6,7.0710678118654755
Yoane Wissa,676,7.511111111111111,3,2,1,1,0,3,47,2.764705882352941,3.072649747463618
Youri Tielemans,1286,14.28888888888889,3,1,5,1,0,5,56,3.2941176470588234,2.9530642111701733
Yves Bissouma,767,8.522222222222222,0,0,1,5,0,0,19,1.1875,0.5439056290693574
Zanka,635,7.055555555555555,0,0,2,0,0,0,20,2,2.309401076758503
